840, 536902759, 20007C67, 2, 0, 0, 0, 7, C, 6, 7 
841, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
842, 536902753, 20007C61, 2, 0, 0, 0, 7, C, 6, 1 
843, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
844, -2147451816, 80007C58, 8, 0, 0, 0, 7, C, 5, 8 
845, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
846, 31822, 00007C4E, 0, 0, 0, 0, 7, C, 4, E 
847, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
848, 1073773843, 40007D13, 4, 0, 0, 0, 7, D, 1, 3 
849, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
850, 32012, 00007D0C, 0, 0, 0, 0, 7, D, 0, C 
851, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
852, -2147451644, 80007D04, 8, 0, 0, 0, 7, D, 0, 4 
853, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
854, 536902908, 20007CFC, 2, 0, 0, 0, 7, C, F, C 
855, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
856, 1073773722, 40007C9A, 4, 0, 0, 0, 7, C, 9, A 
857, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
858, -1073709916, C0007CA4, C, 0, 0, 0, 7, C, A, 4 
859, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
860, -1073709903, C0007CB1, C, 0, 0, 0, 7, C, B, 1 
861, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
862, -1610580803, A0007CBD, A, 0, 0, 0, 7, C, B, D 
863, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
864, 1073773580, 40007C0C, 4, 0, 0, 0, 7, C, 0, C 
865, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
866, 31756, 00007C0C, 0, 0, 0, 0, 7, C, 0, C 
867, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
868, -1610580978, A0007C0E, A, 0, 0, 0, 7, C, 0, E 
869, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
870, -1073709949, C0007C83, C, 0, 0, 0, 7, C, 8, 3 
871, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
872, 1073773692, 40007C7C, 4, 0, 0, 0, 7, C, 7, C 
873, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
874, 1610644597, 60007C75, 6, 0, 0, 0, 7, C, 7, 5 
875, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
876, -1073709970, C0007C6E, C, 0, 0, 0, 7, C, 6, E 
877, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
878, -536838889, E0007D17, E, 0, 0, 0, 7, D, 1, 7 
879, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
880, 1073773850, 40007D1A, 4, 0, 0, 0, 7, D, 1, A 
881, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
882, -1610580710, A0007D1A, A, 0, 0, 0, 7, D, 1, A 
883, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
884, 32024, 00007D18, 0, 0, 0, 0, 7, D, 1, 8 
885, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
886, 536902772, 20007C74, 2, 0, 0, 0, 7, C, 7, 4 
887, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
888, 1610644608, 60007C80, 6, 0, 0, 0, 7, C, 8, 0 
889, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
890, 536902795, 20007C8B, 2, 0, 0, 0, 7, C, 8, B 
891, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
892, 1610644628, 60007C94, 6, 0, 0, 0, 7, C, 9, 4 
893, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
894, -1073710054, C0007C1A, C, 0, 0, 0, 7, C, 1, A 
895, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
896, -2147451882, 80007C16, 8, 0, 0, 0, 7, C, 1, 6 
897, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
898, -536839152, E0007C10, E, 0, 0, 0, 7, C, 1, 0 
899, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
900, -1073710068, C0007C0C, C, 0, 0, 0, 7, C, 0, C 
901, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
902, 1073773726, 40007C9E, 4, 0, 0, 0, 7, C, 9, E 
903, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
904, 536902803, 20007C93, 2, 0, 0, 0, 7, C, 9, 3 
905, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
906, 31881, 00007C89, 0, 0, 0, 0, 7, C, 8, 9 
907, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
908, -1610580864, A0007C80, A, 0, 0, 0, 7, C, 8, 0 
909, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
910, -2147451637, 80007D0B, 8, 0, 0, 0, 7, D, 0, B 
911, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
912, -2147451633, 80007D0F, 8, 0, 0, 0, 7, D, 0, F 
913, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
914, 1610644755, 60007D13, 6, 0, 0, 0, 7, D, 1, 3 
915, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
916, -1073709803, C0007D15, C, 0, 0, 0, 7, D, 1, 5 
917, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
918, 31821, 00007C4D, 0, 0, 0, 0, 7, C, 4, D 
919, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
920, -2147451815, 80007C59, 8, 0, 0, 0, 7, C, 5, 9 
921, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
922, 536902759, 20007C67, 2, 0, 0, 0, 7, C, 6, 7 
923, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
924, 536902772, 20007C74, 2, 0, 0, 0, 7, C, 7, 4 
925, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
926, 31783, 00007C27, 0, 0, 0, 0, 7, C, 2, 7 
927, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
928, -1610580957, A0007C23, A, 0, 0, 0, 7, C, 2, 3 
929, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
930, 1073773599, 40007C1F, 4, 0, 0, 0, 7, C, 1, F 
931, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
932, -1610580968, A0007C18, A, 0, 0, 0, 7, C, 1, 8 
933, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
934, -2147451714, 80007CBE, 8, 0, 0, 0, 7, C, B, E 
935, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
936, -536838989, E0007CB3, E, 0, 0, 0, 7, C, B, 3 
937, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
938, -536839001, E0007CA7, E, 0, 0, 0, 7, C, A, 7 
939, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
940, 1073773814, 40007CF6, 4, 0, 0, 0, 7, C, F, 6 
941, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
942, 1073773821, 40007CFD, 4, 0, 0, 0, 7, C, F, D 
943, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
