 3, 4 
14, -2147451786, 80007C76, 8, 0, 0, 0, 7, C, 7, 6 
16, 1610644590, 60007C6E, 6, 0, 0, 0, 7, C, 6, E 
18, -1073709982, C0007C62, C, 0, 0, 0, 7, C, 6, 2 
20, -1073709994, C0007C56, C, 0, 0, 0, 7, C, 5, 6 
22, 31821, 00007C4D, 0, 0, 0, 0, 7, C, 4, D 
24, -1073710013, C0007C43, C, 0, 0, 0, 7, C, 4, 3 
26, -1073709814, C0007D0A, C, 0, 0, 0, 7, D, 0, A 
28, -1073709824, C0007D00, C, 0, 0, 0, 7, D, 0, 0 
30, 1073773814, 40007CF6, 4, 0, 0, 0, 7, C, F, 6 
32, 31982, 00007CEE, 0, 0, 0, 0, 7, C, E, E 
34, -536838939, E0007CE5, E, 0, 0, 0, 7, C, E, 5 
36, -2147451684, 80007CDC, 8, 0, 0, 0, 7, C, D, C 
38, 1610644691, 60007CD3, 6, 0, 0, 0, 7, C, D, 3 
40, 536902853, 20007CC5, 2, 0, 0, 0, 7, C, C, 5 
42, 1610644688, 60007CD0, 6, 0, 0, 0, 7, C, D, 0 
44, 536902877, 20007CDD, 2, 0, 0, 0, 7, C, D, D 
46, 1610644712, 60007CE8, 6, 0, 0, 0, 7, C, E, 8 
48, 31987, 00007CF3, 0, 0, 0, 0, 7, C, F, 3 
50, 536902909, 20007CFD, 2, 0, 0, 0, 7, C, F, D 
52, 536902917, 20007D05, 2, 0, 0, 0, 7, D, 0, 5 
54, -1610580724, A0007D0C, A, 0, 0, 0, 7, D, 0, C 
56, 536902685, 20007C1D, 2, 0, 0, 0, 7, C, 1, D 
58, -536839131, E0007C25, E, 0, 0, 0, 7, C, 2, 5 
60, 1073773617, 40007C31, 4, 0, 0, 0, 7, C, 3, 1 
62, 536902717, 20007C3D, 2, 0, 0, 0, 7, C, 3, D 
64, 536902730, 20007C4A, 2, 0, 0, 0, 7, C, 4, A 
66, -1610580906, A0007C56, A, 0, 0, 0, 7, C, 5, 6 
68, -536839069, E0007C63, E, 0, 0, 0, 7, C, 6, 3 
70, 31789, 00007C2D, 0, 0, 0, 0, 7, C, 2, D 
72, 31783, 00007C27, 0, 0, 0, 0, 7, C, 2, 7 
74, 1610644510, 60007C1E, 6, 0, 0, 0, 7, C, 1, E 
76, 1073773587, 40007C13, 4, 0, 0, 0, 7, C, 1, 3 
78, -2147451892, 80007C0C, 8, 0, 0, 0, 7, C, 0, C 
80, 1073773574, 40007C06, 4, 0, 0, 0, 7, C, 0, 6 
82, 536902656, 20007C00, 2, 0, 0, 0, 7, C, 0, 0 
84, 536902842, 20007CBA, 2, 0, 0, 0, 7, C, B, A 
86, 1073773738, 40007CAA, 4, 0, 0, 0, 7, C, A, A 
88, -1610580836, A0007C9C, A, 0, 0, 0, 7, C, 9, C 
90, -536839024, E0007C90, E, 0, 0, 0, 7, C, 9, 0 
92, -1610580858, A0007C86, A, 0, 0, 0, 7, C, 8, 6 
94, 536902783, 20007C7F, 2, 0, 0, 0, 7, C, 7, F 
96, 1073773689, 40007C79, 4, 0, 0, 0, 7, C, 7, 9 
98, 31858, 00007C72, 0, 0, 0, 0, 7, C, 7, 2 
100, 536902957, 20007D2D, 2, 0, 0, 0, 7, D, 2, D 
102, -536838864, E0007D30, E, 0, 0, 0, 7, D, 3, 0 
104, 1610644788, 60007D34, 6, 0, 0, 0, 7, D, 3, 4 
106, 536902965, 20007D35, 2, 0, 0, 0, 7, D, 3, 5 
108, -1610580687, A0007D31, A, 0, 0, 0, 7, D, 3, 1 
110, -1610580694, A0007D2A, A, 0, 0, 0, 7, D, 2, A 
112, -1073709792, C0007D20, C, 0, 0, 0, 7, D, 2, 0 
114, 536902803, 20007C93, 2, 0, 0, 0, 7, C, 9, 3 
116, -536839010, E0007C9E, E, 0, 0, 0, 7, C, 9, E 
118, -1073709912, C0007CA8, C, 0, 0, 0, 7, C, A, 8 
120, 536902836, 20007CB4, 2, 0, 0, 0, 7, C, B, 4 
122, -1610580801, A0007CBF, A, 0, 0, 0, 7, C, B, F 
124, 1073773769, 40007CC9, 4, 0, 0, 0, 7, C, C, 9 
126, -1073709868, C0007CD4, C, 0, 0, 0, 7, C, D, 4 
128, 1073773567, 40007BFF, 4, 0, 0, 0, 7, B, F, F 
130, 31747, 00007C03, 0, 0, 0, 0, 7, C, 0, 3 
132, 1610644489, 60007C09, 6, 0, 0, 0, 7, C, 0, 9 
134, 536902671, 20007C0F, 2, 0, 0, 0, 7, C, 0, F 
136, -1073710061, C0007C13, C, 0, 0, 0, 7, C, 1, 3 
138, -2147451880, 80007C18, 8, 0, 0, 0, 7, C, 1, 8 
140, 31774, 00007C1E, 0, 0, 0, 0, 7, C, 1, E 
142, 1610644562, 60007C52, 6, 0, 0, 0, 7, C, 5, 2 
144, -2147451832, 80007C48, 8, 0, 0, 0, 7, C, 4, 8 
146, 1073773632, 40007C40, 4, 0, 0, 0, 7, C, 4, 0 
148, 31801, 00007C39, 0, 0, 0, 0, 7, C, 3, 9 
150, 536902709, 20007C35, 2, 0, 0, 0, 7, C, 3, 5 
152, -536839120, E0007C30, E, 0, 0, 0, 7, C, 3, 0 
154, 31786, 00007C2A, 0, 0, 0, 0, 7, C, 2, A 
156, -1073710044, C0007C24, C, 0, 0, 0, 7, C, 2, 4 
158, -2147451652, 80007CFC, 8, 0, 0, 0, 7, C, F, C 
160, 31986, 00007CF2, 0, 0, 0, 0, 7, C, F, 2 
162, 536902886, 20007CE6, 2, 0, 0, 0, 7, C, E, 6 
164, 31959, 00007CD7, 0, 0, 0, 0, 7, C, D, 7 
166, -1073709882, C0007CC6, C, 0, 0, 0, 7, C, C, 6 
168, -1610580809, A0007CB7, A, 0, 0, 0, 7, C, B, 7 
170, 1073773737, 40007CA9, 4, 0, 0, 0, 7, C, A, 9 
172, 32005, 00007D05, 0, 0, 0, 0, 7, D, 0, 5 
174, 536902925, 20007D0D, 2, 0, 0, 0, 7, D, 0, D 
176, -2147451629, 80007D13, 8, 0, 0, 0, 7, D, 1, 3 
178, -1073709798, C0007D1A, C, 0, 0, 0, 7, D, 1, A 
180, 1610644771, 60007D23, 6, 0, 0, 0, 7, D, 2, 3 
182, -536838871, E0007D29, E, 0, 0, 0, 7, D, 2, 9 
184, 1073773871, 40007D2F, 4, 0, 0, 0, 7, D, 2, F 
186, -1073710001, C0007C4F, C, 0, 0, 0, 7, C, 4, F 
188, -1610580900, A0007C5C, A, 0, 0, 0, 7, C, 5, C 
190, -1073709975, C0007C69, C, 0, 0, 0, 7, C, 6, 9 
192, -1610580874, A0007C76, A, 0, 0, 0, 7, C, 7, 6 
194, -1073709950, C0007C82, C, 0, 0, 0, 7, C, 8, 2 
196, -1610580851, A0007C8D, A, 0, 0, 0, 7, C, 8, D 
198, 1610644632, 60007C98, 6, 0, 0, 0, 7, C, 9, 8 
200, 1073773577, 40007C09, 4, 0, 0, 0, 7, C, 0, 9 
202, -1610580990, A0007C02, A, 0, 0, 0, 7, C, 0, 2 
204, -2147451904, 80007C00, 8, 0, 0, 0, 7, C, 0, 0 
206, 536902655, 20007BFF, 2, 0, 0, 0, 7, B, F, F 
208, -1610580996, A0007BFC, A, 0, 0, 0, 7, B, F, C 
210, 1610644476, 60007BFC, 6, 0, 0, 0, 7, B, F, C 
212, 1610644479, 60007BFF, 6, 0, 0, 0, 7, B, F, F 
214, -1073709947, C0007C85, C, 0, 0, 0, 7, C, 8, 5 
216, -1610580865, A0007C7F, A, 0, 0, 0, 7, C, 7, F 
218, -536839049, E0007C77, E, 0, 0, 0, 7, C, 7, 7 
220, -1073709968, C0007C70, C, 0, 0, 0, 7, C, 7, 0 
222, -536839064, E0007C68, E, 0, 0, 0, 7, C, 6, 8 
224, -2147451811, 80007C5D, 8, 0, 0, 0, 7, C, 5, D 
226, -2147451821, 80007C53, 8, 0, 0, 0, 7, C, 5, 3 
228, 32052, 00007D34, 0, 0, 0, 0, 7, D, 3, 4 
230, -1610580689, A0007D2F, A, 0, 0, 0, 7, D, 2, F 
232, -1610580698, A0007D26, A, 0, 0, 0, 7, D, 2, 6 
234, 32028, 00007D1C, 0, 0, 0, 0, 7, D, 1, C 
236, 32019, 00007D13, 0, 0, 0, 0, 7, D, 1, 3 
238, -2147451637, 80007D0B, 8, 0, 0, 0, 7, D, 0, B 
240, 1073773827, 40007D03, 4, 0, 0, 0, 7, D, 0, 3 
242, 1610644665, 60007CB9, 6, 0, 0, 0, 7, C, B, 9 
244, 536902853, 20007CC5, 2, 0, 0, 0, 7, C, C, 5 
246, 1610644687, 60007CCF, 6, 0, 0, 0, 7, C, C, F 
248, 536902874, 20007CDA, 2, 0, 0, 0, 7, C, D, A 
250, -536838939, E0007CE5, E, 0, 0, 0, 7, C, E, 5 
252, -1610580751, A0007CF1, A, 0, 0, 0, 7, C, F, 1 
254, -2147451653, 80007CFB, 8, 0, 0, 0, 7, C, F, B 
256, 1073773584, 40007C10, 4, 0, 0, 0, 7, C, 1, 0 
258, -1073710062, C0007C12, C, 0, 0, 0, 7, C, 1, 2 
260, 1073773592, 40007C18, 4, 0, 0, 0, 7, C, 1, 8 
262, 1610644511, 60007C1F, 6, 0, 0, 0, 7, C, 1, F 
264, -536839128, E0007C28, E, 0, 0, 0, 7, C, 2, 8 
266, -536839117, E0007C33, E, 0, 0, 0, 7, C, 3, 3 
268, -1610580929, A0007C3F, A, 0, 0, 0, 7, C, 3, F 
270, -2147451845, 80007C3B, 8, 0, 0, 0, 7, C, 3, B 
272, -2147451848, 80007C38, 8, 0, 0, 0, 7, C, 3, 8 
274, 1610644532, 60007C34, 6, 0, 0, 0, 7, C, 3, 4 
276, -536839124, E0007C2C, E, 0, 0, 0, 7, C, 2, C 
278, -1610580953, A0007C27, A, 0, 0, 0, 7, C, 2, 7 
280, -1073710048, C0007C20, C, 0, 0, 0, 7, C, 2, 0 
282, -1610580970, A0007C16, A, 0, 0, 0, 7, C, 1, 6 
284, 31967, 00007CDF, 0, 0, 0, 0, 7, C, D, F 
286, 536902863, 20007CCF, 2, 0, 0, 0, 7, C, C, F 
288, -1073709889, C0007CBF, C, 0, 0, 0, 7, C, B, F 
290, -1610580816, A0007CB0, A, 0, 0, 0, 7, C, B, 0 
292, 536902819, 20007CA3, 2, 0, 0, 0, 7, C, A, 3 
294, 1610644631, 60007C97, 6, 0, 0, 0, 7, C, 9, 7 
296, -1610580851, A0007C8D, A, 0, 0, 0, 7, C, 8, D 
298, -1610580858, A0007C86, A, 0, 0, 0, 7, C, 8, 6 
300, 32029, 00007D1D, 0, 0, 0, 0, 7, D, 1, D 
302, -1073709789, C0007D23, C, 0, 0, 0, 7, D, 2, 3 
304, -536838872, E0007D28, E, 0, 0, 0, 7, D, 2, 8 
306, 536902957, 20007D2D, 2, 0, 0, 0, 7, D, 2, D 
308, 1073773873, 40007D31, 4, 0, 0, 0, 7, D, 3, 1 
310, -2147451597, 80007D33, 8, 0, 0, 0, 7, D, 3, 3 
312, -536838863, E0007D31, E, 0, 0, 0, 7, D, 3, 1 
314, -2147451784, 80007C78, 8, 0, 0, 0, 7, C, 7, 8 
316, 31875, 00007C83, 0, 0, 0, 0, 7, C, 8, 3 
318, -1610580850, A0007C8E, A, 0, 0, 0, 7, C, 8, E 
320, 1610644634, 60007C9A, 6, 0, 0, 0, 7, C, 9, A 
322, -536839005, E0007CA3, E, 0, 0, 0, 7, C, A, 3 
324, -1073709906, C0007CAE, C, 0, 0, 0, 7, C, A, E 
326, 536902843, 20007CBB, 2, 0, 0, 0, 7, C, B, B 
328, -1610580986, A0007C06, A, 0, 0, 0, 7, C, 0, 6 
330, -1610580987, A0007C05, A, 0, 0, 0, 7, C, 0, 5 
332, 1073773575, 40007C07, 4, 0, 0, 0, 7, C, 0, 7 
334, 536902664, 20007C08, 2, 0, 0, 0, 7, C, 0, 8 
336, 536902667, 20007C0B, 2, 0, 0, 0, 7, C, 0, B 
338, -2147451888, 80007C10, 8, 0, 0, 0, 7, C, 1, 0 
340, 536902677, 20007C15, 2, 0, 0, 0, 7, C, 1, 5 
342, -2147451790, 80007C72, 8, 0, 0, 0, 7, C, 7, 2 
344, -536839064, E0007C68, E, 0, 0, 0, 7, C, 6, 8 
346, 536902751, 20007C5F, 2, 0, 0, 0, 7, C, 5, F 
348, 1073773652, 40007C54, 4, 0, 0, 0, 7, C, 5, 4 
350, 31819, 00007C4B, 0, 0, 0, 0, 7, C, 4, B 
352, 31812, 00007C44, 0, 0, 0, 0, 7, C, 4, 4 
354, 536902718, 20007C3E, 2, 0, 0, 0, 7, C, 3, E 
356, -2147451631, 80007D11, 8, 0, 0, 0, 7, D, 1, 1 
358, 536902922, 20007D0A, 2, 0, 0, 0, 7, D, 0, A 
360, -536838909, E0007D03, E, 0, 0, 0, 7, D, 0, 3 
362, 31997, 00007CFD, 0, 0, 0, 0, 7, C, F, D 
364, 1073773812, 40007CF4, 4, 0, 0, 0, 7, C, F, 4 
366, 31977, 00007CE9, 0, 0, 0, 0, 7, C, E, 9 
368, 31962, 00007CDA, 0, 0, 0, 0, 7, C, D, A 
370, 536902858, 20007CCA, 2, 0, 0, 0, 7, C, C, A 
372, 536902889, 20007CE9, 2, 0, 0, 0, 7, C, E, 9 
374, -1073709838, C0007CF2, C, 0, 0, 0, 7, C, F, 2 
376, 31996, 00007CFC, 0, 0, 0, 0, 7, C, F, C 
378, -536838909, E0007D03, E, 0, 0, 0, 7, D, 0, 3 
380, -536838902, E0007D0A, E, 0, 0, 0, 7, D, 0, A 
382, -2147451630, 80007D12, 8, 0, 0, 0, 7, D, 1, 2 
384, -536838887, E0007D19, E, 0, 0, 0, 7, D, 1, 9 
386, -1610580939, A0007C35, A, 0, 0, 0, 7, C, 3, 5 
388, 536902720, 20007C40, 2, 0, 0, 0, 7, C, 4, 0 
390, 1073773643, 40007C4B, 4, 0, 0, 0, 7, C, 4, B 
392, 31830, 00007C56, 0, 0, 0, 0, 7, C, 5, 6 
394, 1073773665, 40007C61, 4, 0, 0, 0, 7, C, 6, 1 
396, -1610580883, A0007C6D, A, 0, 0, 0, 7, C, 6, D 
398, -2147451782, 80007C7A, 8, 0, 0, 0, 7, C, 7, A 
400, 536902700, 20007C2C, 2, 0, 0, 0, 7, C, 2, C 
402, 1073773604, 40007C24, 4, 0, 0, 0, 7, C, 2, 4 
404, 536902683, 20007C1B, 2, 0, 0, 0, 7, C, 1, B 
406, -2147451884, 80007C14, 8, 0, 0, 0, 7, C, 1, 4 
408, 536902673, 20007C11, 2, 0, 0, 0, 7, C, 1, 1 
410, 31758, 00007C0E, 0, 0, 0, 0, 7, C, 0, E 
412, 1073773580, 40007C0C, 4, 0, 0, 0, 7, C, 0, C 
414, -2147451743, 80007CA1, 8, 0, 0, 0, 7, C, A, 1 
416, -1610580843, A0007C95, A, 0, 0, 0, 7, C, 9, 5 
418, -2147451764, 80007C8C, 8, 0, 0, 0, 7, C, 8, C 
420, -1610580859, A0007C85, A, 0, 0, 0, 7, C, 8, 5 
422, -1073709953, C0007C7F, C, 0, 0, 0, 7, C, 7, F 
424, -536839048, E0007C78, E, 0, 0, 0, 7, C, 7, 8 
426, -536839057, E0007C6F, E, 0, 0, 0, 7, C, 6, F 
428, 1073773865, 40007D29, 4, 0, 0, 0, 7, D, 2, 9 
430, -1610580692, A0007D2C, A, 0, 0, 0, 7, D, 2, C 
432, 536902958, 20007D2E, 2, 0, 0, 0, 7, D, 2, E 
434, -1610580693, A0007D2B, A, 0, 0, 0, 7, D, 2, B 
436, 1073773861, 40007D25, 4, 0, 0, 0, 7, D, 2, 5 
438, -1610580708, A0007D1C, A, 0, 0, 0, 7, D, 1, C 
440, 32019, 00007D13, 0, 0, 0, 0, 7, D, 1, 3 
442, -1610580839, A0007C99, A, 0, 0, 0, 7, C, 9, 9 
444, 1610644643, 60007CA3, 6, 0, 0, 0, 7, C, A, 3 
446, -1073709906, C0007CAE, C, 0, 0, 0, 7, C, A, E 
448, 1073773754, 40007CBA, 4, 0, 0, 0, 7, C, B, A 
450, -1073709883, C0007CC5, C, 0, 0, 0, 7, C, C, 5 
452, -536838959, E0007CD1, E, 0, 0, 0, 7, C, D, 1 
454, -1610580771, A0007CDD, A, 0, 0, 0, 7, C, D, D 
456, -1073710072, C0007C08, C, 0, 0, 0, 7, C, 0, 8 
458, -1610580980, A0007C0C, A, 0, 0, 0, 7, C, 0, C 
460, 1610644497, 60007C11, 6, 0, 0, 0, 7, C, 1, 1 
462, -536839147, E0007C15, E, 0, 0, 0, 7, C, 1, 5 
464, 536902682, 20007C1A, 2, 0, 0, 0, 7, C, 1, A 
466, -2147451873, 80007C1F, 8, 0, 0, 0, 7, C, 1, F 
468, 1610644520, 60007C28, 6, 0, 0, 0, 7, C, 2, 8 
470, -536839090, E0007C4E, E, 0, 0, 0, 7, C, 4, E 
472, 31815, 00007C47, 0, 0, 0, 0, 7, C, 4, 7 
474, -2147451842, 80007C3E, 8, 0, 0, 0, 7, C, 3, E 
476, -1073710021, C0007C3B, C, 0, 0, 0, 7, C, 3, B 
478, -2147451846, 80007C3A, 8, 0, 0, 0, 7, C, 3, A 
480, 1073773619, 40007C33, 4, 0, 0, 0, 7, C, 3, 3 
482, 31788, 00007C2C, 0, 0, 0, 0, 7, C, 2, C 
484, -1073710043, C0007C25, C, 0, 0, 0, 7, C, 2, 5 
486, -1073709839, C0007CF1, C, 0, 0, 0, 7, C, F, 1 
488, 1073773797, 40007CE5, 4, 0, 0, 0, 7, C, E, 5 
490, -2147451689, 80007CD7, 8, 0, 0, 0, 7, C, D, 7 
492, 536902857, 20007CC9, 2, 0, 0, 0, 7, C, C, 9 
494, -1073709894, C0007CBA, C, 0, 0, 0, 7, C, B, A 
496, 536902828, 20007CAC, 2, 0, 0, 0, 7, C, A, C 
498, 1073773727, 40007C9F, 4, 0, 0, 0, 7, C, 9, F 
500, 1610644743, 60007D07, 6, 0, 0, 0, 7, D, 0, 7 
502, -1610580722, A0007D0E, A, 0, 0, 0, 7, D, 0, E 
504, -1073709803, C0007D15, C, 0, 0, 0, 7, D, 1, 5 
506, -536838884, E0007D1C, E, 0, 0, 0, 7, D, 1, C 
508, 1073773859, 40007D23, 4, 0, 0, 0, 7, D, 2, 3 
510, -536838873, E0007D27, E, 0, 0, 0, 7, D, 2, 7 
512, 536902955, 20007D2B, 2, 0, 0, 0, 7, D, 2, B 
514, 1073773650, 40007C52, 4, 0, 0, 0, 7, C, 5, 2 
516, -2147451809, 80007C5F, 8, 0, 0, 0, 7, C, 5, F 
518, -1073709973, C0007C6B, C, 0, 0, 0, 7, C, 6, B 
520, 31866, 00007C7A, 0, 0, 0, 0, 7, C, 7, A 
522, -1610580859, A0007C85, A, 0, 0, 0, 7, C, 8, 5 
524, 31886, 00007C8E, 0, 0, 0, 0, 7, C, 8, E 
526, 536902808, 20007C98, 2, 0, 0, 0, 7, C, 9, 8 
528, -1073710066, C0007C0E, C, 0, 0, 0, 7, C, 0, E 
530, 31754, 00007C0A, 0, 0, 0, 0, 7, C, 0, A 
532, 536902664, 20007C08, 2, 0, 0, 0, 7, C, 0, 8 
534, 1073773574, 40007C06, 4, 0, 0, 0, 7, C, 0, 6 
536, 536902661, 20007C05, 2, 0, 0, 0, 7, C, 0, 5 
538, 1073773574, 40007C06, 4, 0, 0, 0, 7, C, 0, 6 
540, -2147451896, 80007C08, 8, 0, 0, 0, 7, C, 0, 8 
542, 1610644608, 60007C80, 6, 0, 0, 0, 7, C, 8, 0 
544, -1073709958, C0007C7A, C, 0, 0, 0, 7, C, 7, A 
546, 31860, 00007C74, 0, 0, 0, 0, 7, C, 7, 4 
548, -536839061, E0007C6B, E, 0, 0, 0, 7, C, 6, B 
550, -2147451807, 80007C61, 8, 0, 0, 0, 7, C, 6, 1 
552, -2147451818, 80007C56, 8, 0, 0, 0, 7, C, 5, 6 
554, -1073710004, C0007C4C, C, 0, 0, 0, 7, C, 4, C 
556, 536902952, 20007D28, 2, 0, 0, 0, 7, D, 2, 8 
558, 1610644768, 60007D20, 6, 0, 0, 0, 7, D, 2, 0 
560, 536902935, 20007D17, 2, 0, 0, 0, 7, D, 1, 7 
562, 32014, 00007D0E, 0, 0, 0, 0, 7, D, 0, E 
564, 536902918, 20007D06, 2, 0, 0, 0, 7, D, 0, 6 
566, 31999, 00007CFF, 0, 0, 0, 0, 7, C, F, F 
568, 536902903, 20007CF7, 2, 0, 0, 0, 7, C, F, 7 
