,,,,,
,,,,,
AMiRo LightRing 1.0,,,,,
Bootloader 1.1.1,,,,,
ChibiOS 2.6.8,,,,,
Board ID: 36,,,,,
,,,,,
starting robot ,,,,,
before init ,,,,,
starting robot ,,,,,
before init ,,,,,
init ,,,,,
start I2S -> sleep 1s ,,,,,
,,,,,
ChibiOS/RT Shell,,,,,
ch> before start DMA ,,,,,
before stop DMA ,,,,,
stop DMA -> sleep 1s ,,,,,
before stop I2S ,,,,,
stop I2S -> 1s ,,,,,
Cycle 0,,,,,
i, k, frequency, d1, d1, i2s_fft_buf[k]
179,89,5707.41503,-1656,FFFFF988,1469.79846
181,90,5771.54296,-1661,FFFFF983,1731.41149
183,91,5835.67138,-1664,FFFFF980,1561.86096
185,92,5899.7998,-1666,FFFFF97E,1398.84326
187,93,5963.92773,-1668,FFFFF97C,1606.20397
189,94,6028.05615,-1669,FFFFF97B,1687.25061
191,95,6092.18457,-1667,FFFFF97D,1455.12707
193,96,6156.3125,-1666,FFFFF97E,1449.40856
195,97,6220.44091,-1664,FFFFF980,1693.88073
197,98,6284.56933,-1661,FFFFF983,1569.4923
199,99,6348.69726,-1658,FFFFF986,1398.86523
201,100,6412.82568,-1653,FFFFF98B,1634.53601
203,101,6476.9541,-1645,FFFFF993,1683.63012
205,102,6541.08203,-1637,FFFFF99B,1430.6676
207,103,6605.21044,-1629,FFFFF9A3,1475.31347
209,104,6669.33886,-1619,FFFFF9AD,1690.27148
211,105,6733.46679,-1610,FFFFF9B6,1581.36511
213,106,6797.59521,-1599,FFFFF9C1,1414.82141
215,107,6861.72363,-1589,FFFFF9CB,1620.1958
217,108,6925.85156,-1578,FFFFF9D6,1685.27795
219,109,6989.97998,-1567,FFFFF9E1,1428.5625
221,110,7054.10839,-1556,FFFFF9EC,1485.20178
223,111,7118.23632,-1546,FFFFF9F6,1680.708
225,112,7182.36474,-1535,FFFFFA01,1577.44287
227,113,7246.49316,-1522,FFFFFA0E,1421.86303
229,114,7310.62109,-1510,FFFFFA1A,1607.7445
231,115,7374.74951,-1498,FFFFFA26,1666.72363
233,116,7438.87792,-1485,FFFFFA33,1460.7456
235,117,7503.00585,-1472,FFFFFA40,1504.61035
237,118,7567.13427,-1462,FFFFFA4A,1687.02954
239,119,7631.26269,-1454,FFFFFA52,1582.67712
241,120,7695.39062,-1445,FFFFFA5B,1427.73425
243,121,7759.51904,-1436,FFFFFA64,1614.55639
245,122,7823.64746,-1429,FFFFFA6B,1681.68371
247,123,7887.77539,-1421,FFFFFA73,1452.96264
249,124,7951.9038,-1414,FFFFFA7A,1502.16955
251,125,8016.03222,-1408,FFFFFA80,1682.33728
253,126,8080.16015,-1402,FFFFFA86,1583.85046
255,127,8144.28857,-1397,FFFFFA8B,1440.67004
257,128,8208.41699,-1393,FFFFFA8F,1609.77734
259,129,8272.54492,-1391,FFFFFA91,1678.3518
261,130,8336.67382,-1391,FFFFFA91,1473.58154
263,131,8400.80175,-1392,FFFFFA90,1501.38488
265,132,8464.92968,-1394,FFFFFA8E,1657.43139
267,133,8529.05859,-1398,FFFFFA8A,1583.18835
269,134,8593.18652,-1402,FFFFFA86,1439.61352
271,135,8657.31445,-1407,FFFFFA81,1605.89013
273,136,8721.44335,-1413,FFFFFA7B,1646.75708
275,137,8785.57128,-1421,FFFFFA73,1471.89538
277,138,8849.69921,-1428,FFFFFA6C,1501.00585
279,139,8913.82812,-1437,FFFFFA63,1687.52185
281,140,8977.95605,-1447,FFFFFA59,1575.07128
283,141,9042.08398,-1456,FFFFFA50,1452.50292
285,142,9106.21289,-1466,FFFFFA46,1599.56896
287,143,9170.34082,-1651,FFFFF98D,1659.79797
289,144,9234.46875,-1652,FFFFF98C,1477.7019
291,145,9298.59765,-1651,FFFFF98D,1502.30725
293,146,9362.72558,-1649,FFFFF98F,1667.01684
295,147,9426.85351,-1647,FFFFF991,1568.04003
297,148,9490.98242,-1643,FFFFF995,1454.58508
299,149,9555.11035,-1639,FFFFF999,1591.16967
301,150,9619.23828,-1635,FFFFF99D,1657.74365
303,151,9683.36718,-1631,FFFFF9A1,1478.60681
305,152,9747.49511,-1625,FFFFF9A7,1496.38696
307,153,9811.62304,-1617,FFFFF9AF,1650.10729
309,154,9875.75195,-1609,FFFFF9B7,1583.67651
311,155,9939.87988,-1600,FFFFF9C0,1453.34094
313,156,10004.00781,-1589,FFFFF9CB,1592.97583
315,157,10068.13671,-1578,FFFFF9D6,1660.30456
317,158,10132.26464,-1566,FFFFF9E2,1471.41552
319,159,10196.39257,-1555,FFFFF9ED,1497.66027
321,160,10260.52148,-1543,FFFFF9F9,1664.89624
323,161,10324.64941,-1532,FFFFFA04,1590.01147
325,162,10388.77734,-1522,FFFFFA0E,1444.28125
327,163,10452.90625,-1511,FFFFFA19,1597.93676
329,164,10517.03417,-1500,FFFFFA24,1640.90185
331,165,10581.1621,-1487,FFFFFA31,1492.60717
333,166,10645.29101,-1475,FFFFFA3D,1510.1018
335,167,10709.41894,-1464,FFFFFA48,1651.70751
337,168,10773.54687,-1455,FFFFFA51,1565.86621
339,169,10837.67578,-1445,FFFFFA5B,1450.42541
341,170,10901.80371,-1435,FFFFFA65,1584.78491
343,171,10965.93164,-1427,FFFFFA6D,1647.16113
345,172,11030.06054,-1419,FFFFFA75,1486.82788
347,173,11094.18847,-1411,FFFFFA7D,1489.10974
349,174,11158.3164,-1404,FFFFFA84,1654.56823
351,175,11222.44531,-1398,FFFFFA8A,1576.7135
353,176,11286.57324,-1391,FFFFFA91,1452.40148
355,177,11350.70117,-1386,FFFFFA96,1597.4989
357,178,11414.83007,-1382,FFFFFA9A,1632.11474
359,179,11478.958,-1380,FFFFFA9C,1494.40136
361,180,11543.08593,-1380,FFFFFA9C,1490.64038
363,181,11607.21484,-1381,FFFFFA9B,1651.42443
365,182,11671.34277,-1382,FFFFFA9A,1571.9602
367,183,11735.4707,-1386,FFFFFA96,1461.40832
369,184,11799.5996,-1389,FFFFFA93,1585.8645
371,185,11863.72753,-1393,FFFFFA8F,1644.46398
373,186,11927.85546,-1398,FFFFFA8A,1494.70458
375,187,11991.98437,-1405,FFFFFA83,1489.63635
377,188,12056.1123,-1413,FFFFFA7B,1645.01123
379,189,12120.24023,-1422,FFFFFA72,1567.93969
381,190,12184.36914,-1431,FFFFFA69,1444.11755
383,191,12248.49707,-1441,FFFFFA5F,1591.81616
385,192,12312.625,-1452,FFFFFA54,1621.7622
387,193,12376.7539,-1464,FFFFFA48,1483.62878
389,194,12440.88183,-1476,FFFFFA3C,1504.26135
391,195,12505.00976,-1487,FFFFFA31,1640.27343
393,196,12569.13867,-1496,FFFFFA28,1571.65148
395,197,12633.2666,-1505,FFFFFA1F,1462.31518
397,198,12697.39453,-1516,FFFFFA14,1582.82055
399,199,12761.52343,-1528,FFFFFA08,1640.15551
401,200,12825.65136,-1539,FFFFF9FD,1496.98229
403,201,12889.77929,-1551,FFFFF9F1,1506.66955
405,202,12953.9082,-1560,FFFFF9E8,1633.31982
407,203,13018.03613,-1571,FFFFF9DD,1572.94714
409,204,13082.16406,-1582,FFFFF9D2,1464.82092
411,205,13146.29296,-1591,FFFFF9C9,1580.73876
413,206,13210.42089,-1599,FFFFF9C1,1634.29504
415,207,13274.54882,-1605,FFFFF9BB,1499.70568
417,208,13338.67773,-1613,FFFFF9B3,1514.12487
419,209,13402.80566,-1622,FFFFF9AA,1636.7539
421,210,13466.93359,-1628,FFFFF9A4,1583.55932
423,211,13531.0625,-1634,FFFFF99E,1469.58825
425,212,13595.19042,-1640,FFFFF998,1574.05773
427,213,13659.31835,-1645,FFFFF993,1641.56628
429,214,13723.44726,-1649,FFFFF98F,1499.16381
431,215,13787.57519,-1652,FFFFF98C,1503.734
433,216,13851.70312,-1654,FFFFF98A,1645.41418
435,217,13915.83203,-1656,FFFFF988,1572.5913
437,218,13979.95996,-1655,FFFFF989,1465.02282
439,219,14044.08789,-1653,FFFFF98B,1584.81384
441,220,14108.21679,-1651,FFFFF98D,1635.22497
443,221,14172.34472,-1649,FFFFF98F,1493.78137
445,222,14236.47265,-1646,FFFFF992,1493.10607
447,223,14300.60156,-1642,FFFFF996,1641.26574
