
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-390,FFFFFE7A,0.00000
BOOL 0K 
3,1,64.12825,-737,FFFFFD1F,4828.25097
BOOL 0K 
5,2,128.25651,-1590,FFFFF9CA,4879.59765
7,3,192.38476,-2491,FFFFF645,2059.19384
9,4,256.51303,-2879,FFFFF4C1,2268.51635
BOOL 0K 
11,5,320.64129,-2663,FFFFF599,5439.71484
13,6,384.76953,-2270,FFFFF722,3390.83007
15,7,448.89779,-2191,FFFFF771,420.84921
BOOL 0K 
17,8,513.02606,-2334,FFFFF6E2,12538.88769
BOOL 0K 
19,9,577.15429,-2204,FFFFF764,16045.54199
BOOL 0K 
21,10,641.28259,-1592,FFFFF9C8,15628.21679
23,11,705.41082,-745,FFFFFD17,3383.22338
BOOL 0K 
25,12,769.53906,-295,FFFFFED9,10093.53515
BOOL 0K 
27,13,833.66735,-645,FFFFFD7B,4755.63085
BOOL 0K 
29,14,897.79559,-1290,FFFFFAF6,6158.74072
31,15,961.92382,-1460,FFFFFA4C,3211.42041
BOOL 0K 
33,16,1026.05212,-1187,FFFFFB5D,9068.82714
35,17,1090.18041,-1188,FFFFFB5C,2790.43237
BOOL 0K 
37,18,1154.30859,-1694,FFFFF962,5399.59716
BOOL 0K 
39,19,1218.43688,-2291,FFFFF70D,9225.32714
BOOL 0K 
41,20,1282.56518,-2810,FFFFF506,5830.12988
43,21,1346.69335,-3218,FFFFF36E,2169.59643
BOOL 0K 
45,22,1410.82165,-3240,FFFFF358,8903.34960
BOOL 0K 
47,23,1474.94995,-2644,FFFFF5AC,10944.60351
49,24,1539.07812,-1507,FFFFFA1D,4135.26416
51,25,1603.20642,-391,FFFFFE79,2240.17578
BOOL 0K 
53,26,1667.33471,84,00000054,14893.57519
BOOL 0K 
55,27,1731.46289,-89,FFFFFFA7,17590.40234
BOOL 0K 
57,28,1795.59118,-615,FFFFFD99,10389.40722
BOOL 0K 
59,29,1859.71948,-1353,FFFFFAB7,42262.17187
BOOL 0K 
61,30,1923.84765,-2102,FFFFF7CA,27787.92773
BOOL 0K 
63,31,1987.97595,-2467,FFFFF65D,34556.96484
BOOL 2K 
65,32,2052.10424,-2415,FFFFF691,24327.14062
BOOL 2K 
67,33,2116.23242,-2437,FFFFF67B,61135.53515
BOOL 2K 
69,34,2180.36083,-2584,FFFFF5E8,15693.69140
BOOL 2K 
71,35,2244.48901,-2319,FFFFF6F1,56226.11718
BOOL 2K 
73,36,2308.61718,-1443,FFFFFA5D,37933.97265
BOOL 2K 
75,37,2372.74560,-392,FFFFFE78,159259.09375
BOOL 2K 
77,38,2436.87377,131,00000083,99306.06250
BOOL 2K 
79,39,2501.00195,-257,FFFFFEFF,76082.57031
BOOL 2K 
81,40,2565.13037,-1278,FFFFFB02,53970.96484
BOOL 2K 
83,41,2629.25854,-2233,FFFFF747,39281.57421
BOOL 2K 
85,42,2693.38671,-2615,FFFFF5C9,28945.56054
BOOL 2K 
87,43,2757.51513,-2557,FFFFF603,10321.61914
BOOL 2K 
89,44,2821.64331,-2412,FFFFF694,66546.14843
BOOL 2K 
91,45,2885.77148,-2223,FFFFF751,25894.98046
BOOL 2K 
93,46,2949.89990,-1882,FFFFF8A6,40296.21484
BOOL 2K 
95,47,3014.02807,-1336,FFFFFAC8,33460.35546
BOOL 2K 
97,48,3078.15625,-777,FFFFFCF7,23365.48828
BOOL 2K 
99,49,3142.28466,-593,FFFFFDAF,31886.13867
BOOL 2K 
101,50,3206.41284,-795,FFFFFCE5,32435.29296
BOOL 2K 
103,51,3270.54101,-978,FFFFFC2E,29616.61132
BOOL 2K 
105,52,3334.66943,-1030,FFFFFBFA,26414.62500
BOOL 2K 
107,53,3398.79760,-1350,FFFFFABA,14874.27734
BOOL 2K 
109,54,3462.92578,-2111,FFFFF7C1,25088.25976
BOOL 2K 
111,55,3527.05419,-2791,FFFFF519,18726.58398
BOOL 2K 
113,56,3591.18237,-2829,FFFFF4F3,16125.35742
BOOL 2K 
