
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
217,108,3459.45947,-1530,FFFFFA06,1542.16174
219,109,3491.49145,-1529,FFFFFA07,1493.08142
221,110,3523.52343,-1529,FFFFFA07,1526.27807
223,111,3555.55566,-1530,FFFFFA06,1505.43493
225,112,3587.58764,-1529,FFFFFA07,1518.95202
227,113,3619.61962,-1530,FFFFFA06,1573.08959
229,114,3651.65161,-1530,FFFFFA06,1543.65710
231,115,3683.68359,-1529,FFFFFA07,1515.14184
233,116,3715.71582,-1529,FFFFFA07,1477.73889
235,117,3747.74780,-1530,FFFFFA06,1531.65710
237,118,3779.77978,-1530,FFFFFA06,1478.94287
239,119,3811.81176,-1530,FFFFFA06,1538.03320
241,120,3843.84375,-1530,FFFFFA06,1532.41625
243,121,3875.87597,-1530,FFFFFA06,1548.72680
245,122,3907.90795,-1530,FFFFFA06,1521.14270
247,123,3939.93994,-1530,FFFFFA06,1497.31164
249,124,3971.97192,-1530,FFFFFA06,1519.22460
251,125,4004.00390,-1530,FFFFFA06,1540.01477
253,126,4036.03613,-1530,FFFFFA06,1497.85632
255,127,4068.06811,-1530,FFFFFA06,1547.28356
257,128,4100.10009,-1529,FFFFFA07,1585.72216
259,129,4132.13232,-1529,FFFFFA07,1525.41406
261,130,4164.16406,-1529,FFFFFA07,1519.58398
263,131,4196.19628,-1530,FFFFFA06,1502.96667
265,132,4228.22802,-1530,FFFFFA06,1490.03552
267,133,4260.26025,-1530,FFFFFA06,1535.01867
269,134,4292.29248,-1530,FFFFFA06,1530.41223
271,135,4324.32421,-1530,FFFFFA06,1566.52575
273,136,4356.35644,-1530,FFFFFA06,1510.54040
275,137,4388.38818,-1529,FFFFFA07,1500.12536
277,138,4420.42041,-1530,FFFFFA06,1531.68188
279,139,4452.45263,-1530,FFFFFA06,1514.88244
281,140,4484.48437,-1530,FFFFFA06,1520.95581
283,141,4516.51660,-1531,FFFFFA05,1550.88195
285,142,4548.54833,-1530,FFFFFA06,1580.27270
287,143,4580.58056,-1513,FFFFFA17,1547.68652
289,144,4612.61279,-1513,FFFFFA17,1522.20227
291,145,4644.64453,-1513,FFFFFA17,1544.43090
293,146,4676.67675,-1513,FFFFFA17,1491.53906
295,147,4708.70849,-1513,FFFFFA17,1487.42736
297,148,4740.74072,-1513,FFFFFA17,1572.71215
299,149,4772.77294,-1511,FFFFFA19,1559.91333
301,150,4804.80468,-1511,FFFFFA19,1564.48461
303,151,4836.83691,-1512,FFFFFA18,1525.78662
305,152,4868.86865,-1512,FFFFFA18,1543.42993
307,153,4900.90087,-1512,FFFFFA18,1522.60485
309,154,4932.93310,-1512,FFFFFA18,1508.48461
311,155,4964.96484,-1512,FFFFFA18,1529.09631
313,156,4996.99707,-1512,FFFFFA18,1555.15124
315,157,5029.02880,-1513,FFFFFA17,1535.85571
317,158,5061.06103,-1513,FFFFFA17,1517.76025
319,159,5093.09326,-1512,FFFFFA18,1519.89099
321,160,5125.12500,-1511,FFFFFA19,1474.81494
323,161,5157.15722,-1511,FFFFFA19,1487.53784
325,162,5189.18896,-1511,FFFFFA19,1534.20825
327,163,5221.22119,-1511,FFFFFA19,1538.77185
329,164,5253.25341,-1511,FFFFFA19,1537.15844
331,165,5285.28515,-1512,FFFFFA18,1539.26367
333,166,5317.31738,-1512,FFFFFA18,1468.46545
335,167,5349.34912,-1512,FFFFFA18,1515.93395
337,168,5381.38134,-1511,FFFFFA19,1521.73120
339,169,5413.41357,-1512,FFFFFA18,1526.58776
341,170,5445.44531,-1512,FFFFFA18,1536.26342
343,171,5477.47753,-1513,FFFFFA17,1527.66442
345,172,5509.50927,-1512,FFFFFA18,1489.19750
