,,,,,
AMiRo LightRing 1.0,,,,,
Bootloader 1.1.1,,,,,
ChibiOS 2.6.8,,,,,
Board ID: 36,,,,,
,,,,,
starting robot ,,,,,
before init ,,,,,
starting robot ,,,,,
before init ,,,,,
init ,,,,,
start I2S -> sleep 1s ,,,,,
,,,,,
ChibiOS/RT Shell,,,,,
ch> before start DMA ,,,,,
before stop DMA ,,,,,
stop DMA -> sleep 1s ,,,,,
before stop I2S ,,,,,
stop I2S -> 1s ,,,,,
Cycle 0,,,,,
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0,-1450,FFFFFA56,0
3,1,128.51405,-1458,FFFFFA4E,823.62963
5,2,257.0281,-1468,FFFFFA44,2108.67309
7,3,385.54217,-1478,FFFFFA3A,1020.93133
9,4,514.05621,-1491,FFFFFA2D,2289.92407
11,5,642.57025,-1508,FFFFFA1C,16333.5957
13,6,771.08435,-1527,FFFFFA09,3419.04882
15,7,899.59838,-1547,FFFFF9F5,1266.79443
17,8,1028.11242,-1565,FFFFF9E3,1855.01977
19,9,1156.62646,-1585,FFFFF9CF,1641.33435
21,10,1285.1405,-1605,FFFFF9BB,1410.06958
23,11,1413.65466,-1622,FFFFF9AA,1747.48437
25,12,1542.1687,-1636,FFFFF99C,1345.9718
27,13,1670.68273,-1648,FFFFF990,1648.08789
29,14,1799.19677,-1660,FFFFF984,1490.7301
31,15,1927.71081,-1673,FFFFF977,1617.15563
33,16,2056.22485,-1684,FFFFF96C,1501.93933
35,17,2184.73901,-1694,FFFFF962,1411.63195
37,18,2313.25292,-1702,FFFFF95A,1593.22729
39,19,2441.76708,-1706,FFFFF956,1399.31945
41,20,2570.281,-1711,FFFFF951,1507.604
43,21,2698.79516,-1712,FFFFF950,1476.42224
45,22,2827.30932,-1709,FFFFF953,1471.24157
47,23,2955.82324,-1702,FFFFF95A,1568.65551
49,24,3084.3374,-1694,FFFFF962,1558.48852
51,25,3212.85131,-1686,FFFFF96A,1701.88525
53,26,3341.36547,-1677,FFFFF973,1293.70825
55,27,3469.87963,-1668,FFFFF97C,1538.82189
57,28,3598.39355,-1658,FFFFF986,1406.89733
59,29,3726.90771,-1645,FFFFF993,1462.07849
61,30,3855.42163,-1630,FFFFF9A2,1488.91955
63,31,3983.93579,-1612,FFFFF9B4,1414.75012
65,32,4112.4497,-1593,FFFFF9C7,1511.57287
67,33,4240.96386,-1575,FFFFF9D9,1405.41967
69,34,4369.47802,-1556,FFFFF9EC,1521.4696
71,35,4497.99218,-1538,FFFFF9FE,1442.35021
73,36,4626.50585,-1519,FFFFFA11,1421.96423
75,37,4755.02001,-1504,FFFFFA20,1484.77734
77,38,4883.53417,-1489,FFFFFA2F,1401.14831
79,39,5012.04833,-1473,FFFFFA3F,1502.67932
81,40,5140.56201,-1459,FFFFFA4D,1410.8374
83,41,5269.07617,-1448,FFFFFA58,1476.12036
85,42,5397.59033,-1437,FFFFFA63,1453.63305
87,43,5526.10449,-1427,FFFFFA6D,1438.01477
89,44,5654.61865,-1420,FFFFFA74,1483.39245
91,45,5783.13232,-1415,FFFFFA79,1429.85595
93,46,5911.64648,-1414,FFFFFA7A,1490.04968
95,47,6040.16064,-1419,FFFFFA75,1432.68139
97,48,6168.6748,-1427,FFFFFA6D,1480.85314
99,49,6297.18896,-1437,FFFFFA63,1471.59741
101,50,6425.70263,-1447,FFFFFA59,1430.76721
103,51,6554.21679,-1456,FFFFFA50,1484.28564
105,52,6682.73095,-1463,FFFFFA49,1412.09313
107,53,6811.24511,-1474,FFFFFA3E,1476.48205
109,54,6939.75927,-1487,FFFFFA31,1432.12023
111,55,7068.27294,-1504,FFFFFA20,1445.63745
113,56,7196.7871,-1524,FFFFFA0C,1458.42199
115,57,7325.30126,-1544,FFFFF9F8,1430.99963
117,58,7453.81542,-1562,FFFFF9E6,1474.93359
119,59,7582.3291,-1581,FFFFF9D3,1420.19946
121,60,7710.84326,-1599,FFFFF9C1,1489.3645
123,61,7839.35742,-1616,FFFFF9B0,1439.01611
125,62,7967.87158,-1632,FFFFF9A0,1459.71386
127,63,8096.38574,-1645,FFFFF993,1452.91064
129,64,8224.89941,-1658,FFFFF986,1432.00158
131,65,8353.41406,-1671,FFFFF979,1480.62548
133,66,8481.92773,-1683,FFFFF96D,1416.77539
135,67,8610.4414,-1693,FFFFF963,1486.281
137,68,8738.95605,-1701,FFFFF95B,1442.90197
139,69,8867.46972,-1708,FFFFF954,1461.33276
141,70,8995.98437,-1712,FFFFF950,1458.39807
143,71,9124.49804,-1713,FFFFF94F,1432.15942
145,72,9253.01171,-1712,FFFFF950,1486.2456
147,73,9381.52636,-1707,FFFFF955,1428.38891
149,74,9510.04003,-1698,FFFFF95E,1479.53234
151,75,9638.55468,-1688,FFFFF968,1442.9497
153,76,9767.06835,-1680,FFFFF970,1454.82287
155,77,9895.58203,-1671,FFFFF979,1459.20227
