,,,,,
AMiRo LightRing 1.0,,,,,
Bootloader 1.1.1,,,,,
ChibiOS 2.6.8,,,,,
Board ID: 36,,,,,
,,,,,
starting robot ,,,,,
before init ,,,,,
starting robot ,,,,,
before init ,,,,,
init ,,,,,
start I2S -> sleep 1s ,,,,,
,,,,,
ChibiOS/RT Shell,,,,,
ch> before start DMA ,,,,,
before stop DMA ,,,,,
stop DMA -> sleep 1s ,,,,,
before stop I2S ,,,,,
stop I2S -> 1s ,,,,,
i, k, frequency, d1, d1, i2s_fft_buf[k]
185,92,2946.94702,-542,FFFFFDE2,2274.67529
187,93,2978.979,-564,FFFFFDCC,1777.64819
189,94,3011.01098,-582,FFFFFDBA,1520.3352
191,95,3043.04296,-596,FFFFFDAC,2511.5686
193,96,3075.07519,-607,FFFFFDA1,5488.5371
195,97,3107.10717,-619,FFFFFD95,2935.46191
197,98,3139.13916,-634,FFFFFD86,2406.60131
199,99,3171.17114,-650,FFFFFD76,1640.36145
201,100,3203.20312,-664,FFFFFD68,564.70788
203,101,3235.23535,-679,FFFFFD59,804.49993
205,102,3267.26733,-699,FFFFFD45,1756.87927
207,103,3299.29931,-723,FFFFFD2D,2385.65112
209,104,3331.33129,-743,FFFFFD19,2396.22583
211,105,3363.36328,-758,FFFFFD0A,2236.44653
213,106,3395.3955,-765,FFFFFD03,1397.1101
215,107,3427.42749,-769,FFFFFCFF,462.82739
217,108,3459.45947,-772,FFFFFCFC,1008.5827
219,109,3491.49145,-781,FFFFFCF3,2780.31738
221,110,3523.52343,-795,FFFFFCE5,1476.19909
223,111,3555.55566,-809,FFFFFCD7,2002.26904
225,112,3587.58764,-826,FFFFFCC6,1758.27319
227,113,3619.61962,-844,FFFFFCB4,1048.8673
229,114,3651.65161,-858,FFFFFCA6,507.79141
231,115,3683.68359,-868,FFFFFC9C,1058.25561
233,116,3715.71582,-873,FFFFFC97,1753.42822
235,117,3747.7478,-871,FFFFFC99,2134.73779
237,118,3779.77978,-871,FFFFFC99,2035.3164
239,119,3811.81176,-874,FFFFFC96,1582.8966
241,120,3843.84375,-880,FFFFFC90,797.19287
243,121,3875.87597,-888,FFFFFC88,560.17303
245,122,3907.90795,-897,FFFFFC7F,1187.64929
247,123,3939.93994,-905,FFFFFC77,2198.90942
249,124,3971.97192,-907,FFFFFC75,1944.45239
251,125,4004.0039,-905,FFFFFC77,1785.55737
253,126,4036.03613,-898,FFFFFC7E,1215.06689
255,127,4068.06811,-884,FFFFFC8C,567.44378
257,128,4100.10009,-866,FFFFFC9E,696.83117
259,129,4132.13232,-848,FFFFFCB0,1435.03698
261,130,4164.16406,-833,FFFFFCBF,1893.57958
263,131,4196.19628,-825,FFFFFCC7,1885.69165
265,132,4228.22802,-819,FFFFFCCD,1564.42456
267,133,4260.26025,-812,FFFFFCD4,979.79119
269,134,4292.29248,-799,FFFFFCE1,453.04016
271,135,4324.32421,-780,FFFFFCF4,1128.0404
273,136,4356.35644,-762,FFFFFD06,1567.13793
275,137,4388.38818,-745,FFFFFD17,1486.25402
277,138,4420.42041,-727,FFFFFD29,1732.80554
279,139,4452.45263,-705,FFFFFD3F,1286.74499
281,140,4484.48437,-682,FFFFFD56,846.92181
283,141,4516.5166,-662,FFFFFD6A,423.76065
285,142,4548.54833,-647,FFFFFD79,933.00299
287,143,4580.58056,-639,FFFFFD81,1467.61669
289,144,4612.61279,-631,FFFFFD89,1719.87353
291,145,4644.64453,-621,FFFFFD93,1564.98437
293,146,4676.67675,-608,FFFFFDA0,1153.31469
295,147,4708.70849,-591,FFFFFDB1,559.79547
297,148,4740.74072,-574,FFFFFDC2,550.03778
299,149,4772.77294,-560,FFFFFDD0,983.4237
301,150,4804.80468,-544,FFFFFDE0,979.51684
303,151,4836.83691,-527,FFFFFDF1,2176.51123
305,152,4868.86865,-510,FFFFFE02,1587.04675
307,153,4900.90087,-499,FFFFFE0D,1085.36584
309,154,4932.9331,-494,FFFFFE12,426.61193
311,155,4964.96484,-492,FFFFFE14,700.71942
313,156,4996.99707,-492,FFFFFE14,1285.3153
315,157,5029.0288,-491,FFFFFE15,1620.28405
317,158,5061.06103,-490,FFFFFE16,1636.68627
319,159,5093.09326,-490,FFFFFE16,1325.06433
321,160,5125.125,-489,FFFFFE17,775.93988
323,161,5157.15722,-488,FFFFFE18,387.36462
325,162,5189.18896,-491,FFFFFE15,866.31988
327,163,5221.22119,-501,FFFFFE0B,1355.45251
329,164,5253.25341,-519,FFFFFDF9,1571.04272
331,165,5285.28515,-544,FFFFFDE0,1541.90795
333,166,5317.31738,-568,FFFFFDC8,1112.72534
335,167,5349.34912,-587,FFFFFDB5,526.27471
337,168,5381.38134,-601,FFFFFDA7,457.72229
339,169,5413.41357,-612,FFFFFD9C,991.10797
341,170,5445.44531,-624,FFFFFD90,1465.79467
343,171,5477.47753,-639,FFFFFD81,1511.98376
345,172,5509.50927,-654,FFFFFD72,1366.73925
347,173,5541.5415,-669,FFFFFD63,938.69995
349,174,5573.57373,-685,FFFFFD53,384.42877
351,175,5605.60546,-704,FFFFFD40,627.33898
353,176,5637.63769,-726,FFFFFD2A,1272.7611
355,177,5669.66943,-747,FFFFFD15,1642.04431
357,178,5701.70166,-762,FFFFFD06,948.79229
359,179,5733.73388,-772,FFFFFCFC,1186.38244
361,180,5765.76562,-777,FFFFFCF7,756.64471
363,181,5797.79785,-781,FFFFFCF3,330.88674
365,182,5829.82958,-788,FFFFFCEC,625.11175
367,183,5861.86181,-801,FFFFFCDF,1105.28234
369,184,5893.89404,-814,FFFFFCD2,1338.20288
371,185,5925.92578,-831,FFFFFCC1,1334.24084
373,186,5957.958,-851,FFFFFCAD,1012.79998
375,187,5989.98974,-866,FFFFFC9E,591.78942
377,188,6022.02197,-877,FFFFFC93,312.86453
379,189,6054.05419,-882,FFFFFC8E,791.78497
381,190,6086.08593,-880,FFFFFC90,1201.43371
383,191,6118.11816,-877,FFFFFC93,1215.85559
385,192,6150.15039,-879,FFFFFC91,1404.77746
387,193,6182.18212,-884,FFFFFC8C,900.45916
389,194,6214.21435,-894,FFFFFC82,458.00592
391,195,6246.24609,-904,FFFFFC78,485.79791
393,196,6278.27832,-911,FFFFFC71,910.62573
395,197,6310.31054,-915,FFFFFC6D,1279.59875
397,198,6342.34228,-914,FFFFFC6E,1313.01281
399,199,6374.37451,-907,FFFFFC75,1134.82092
401,200,6406.40625,-895,FFFFFC81,744.2127
403,201,6438.43847,-877,FFFFFC93,318.08407
405,202,6470.4707,-858,FFFFFCA6,585.63287
407,203,6502.50244,-843,FFFFFCB5,1011.66503
409,204,6534.53466,-831,FFFFFCC1,1261.10839
411,205,6566.5664,-823,FFFFFCC9,1253.88134
413,206,6598.59863,-817,FFFFFCCF,984.28503
415,207,6630.63085,-806,FFFFFCDA,623.37738
417,208,6662.66259,-791,FFFFFCE9,338.51507
419,209,6694.69482,-773,FFFFFCFB,677.84539
421,210,6726.72656,-756,FFFFFD0C,1049.74865
423,211,6758.75878,-739,FFFFFD1D,1271.48535
425,212,6790.79101,-716,FFFFFD34,1193.40222
427,213,6822.82275,-692,FFFFFD4C,878.57946
429,214,6854.85498,-670,FFFFFD62,446.42572
431,215,6886.88671,-654,FFFFFD72,390.25503
433,216,6918.91894,-644,FFFFFD7C,805.74456
435,217,6950.95117,-639,FFFFFD81,1098.80346
437,218,6982.98291,-632,FFFFFD88,1232.52124
439,219,7015.01513,-620,FFFFFD94,1075.66918
441,220,7047.04687,-604,FFFFFDA4,719.67932
443,221,7079.0791,-586,FFFFFDB6,313.20358
445,222,7111.11132,-571,FFFFFDC5,499.71096
