

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
261,130,4164.16406,2221,000008AD,881.20892
263,131,4196.19628,2228,000008B4,1543.57910
265,132,4228.22802,2235,000008BB,2357.16235
267,133,4260.26025,2242,000008C2,2991.38403
269,134,4292.29248,2249,000008C9,3554.13549
271,135,4324.32421,2254,000008CE,3828.37939
273,136,4356.35644,2260,000008D4,3958.87377
275,137,4388.38818,2267,000008DB,3899.33666
277,138,4420.42041,2274,000008E2,3490.18750
279,139,4452.45263,2281,000008E9,3191.21582
281,140,4484.48437,2287,000008EF,2566.74243
283,141,4516.51660,2294,000008F6,1870.45605
285,142,4548.54833,2301,000008FD,1010.15039
287,143,4580.58056,2305,00000901,264.79727
289,144,4612.61279,2310,00000906,763.96679
291,145,4644.64453,2316,0000090C,1501.36230
293,146,4676.67675,2321,00000911,2264.59814
295,147,4708.70849,2324,00000914,2871.78906
297,148,4740.74072,2327,00000917,3346.69409
299,149,4772.77294,2331,0000091B,3671.63330
301,150,4804.80468,2335,0000091F,3829.87915
303,151,4836.83691,2337,00000921,3598.70385
305,152,4868.86865,2340,00000924,3452.67431
307,153,4900.90087,2344,00000928,3005.95141
309,154,4932.93310,2345,00000929,2416.90478
311,155,4964.96484,2347,0000092B,1753.36779
313,156,4996.99707,2348,0000092C,1021.38171
315,157,5029.02880,2348,0000092C,168.14700
317,158,5061.06103,2349,0000092D,704.91894
319,159,5093.09326,2349,0000092D,1517.40979
321,160,5125.12500,2349,0000092D,2156.45556
323,161,5157.15722,2349,0000092D,2724.34448
325,162,5189.18896,2349,0000092D,3225.47143
327,163,5221.22119,2349,0000092D,3493.86279
329,164,5253.25341,2348,0000092C,3635.91821
331,165,5285.28515,2346,0000092A,3583.82617
333,166,5317.31738,2344,00000928,3284.88134
335,167,5349.34912,2342,00000926,2847.44165
337,168,5381.38134,2341,00000925,2333.90478
339,169,5413.41357,2340,00000924,1635.90393
341,170,5445.44531,2339,00000923,888.50018
343,171,5477.47753,2338,00000922,188.71096
345,172,5509.50927,2338,00000922,680.59417
347,173,5541.54150,2338,00000922,1458.22302
349,174,5573.57373,2337,00000921,2090.41259
351,175,5605.60546,2336,00000920,2682.28125
353,176,5637.63769,2333,0000091D,3104.45776
355,177,5669.66943,2333,0000091D,3369.44213
357,178,5701.70166,2333,0000091D,3576.47143
