

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
213,106,3395.39550,-1597,FFFFF9C3,1532.97961
215,107,3427.42749,-1597,FFFFF9C3,1581.10961
217,108,3459.45947,-1597,FFFFF9C3,1545.84509
219,109,3491.49145,-1598,FFFFF9C2,1468.57177
221,110,3523.52343,-1601,FFFFF9BF,1344.47790
223,111,3555.55566,-1604,FFFFF9BC,1419.48937
225,112,3587.58764,-1608,FFFFF9B8,1492.30822
227,113,3619.61962,-1613,FFFFF9B3,1547.30419
229,114,3651.65161,-1615,FFFFF9B1,1565.04602
231,115,3683.68359,-1616,FFFFF9B0,1546.95495
233,116,3715.71582,-1618,FFFFF9AE,1520.46398
235,117,3747.74780,-1620,FFFFF9AC,1414.66760
237,118,3779.77978,-1621,FFFFF9AB,1452.80944
239,119,3811.81176,-1621,FFFFF9AB,1486.15466
241,120,3843.84375,-1620,FFFFF9AC,1538.42736
243,121,3875.87597,-1619,FFFFF9AD,1572.90454
245,122,3907.90795,-1618,FFFFF9AE,1568.64721
247,123,3939.93994,-1618,FFFFF9AE,1475.68457
249,124,3971.97192,-1617,FFFFF9AF,1443.83825
251,125,4004.00390,-1615,FFFFF9B1,1440.90563
253,126,4036.03613,-1613,FFFFF9B3,1484.05627
255,127,4068.06811,-1608,FFFFF9B8,1536.47363
257,128,4100.10009,-1603,FFFFF9BD,1561.55395
259,129,4132.13232,-1598,FFFFF9C2,1556.25231
261,130,4164.16406,-1594,FFFFF9C6,1509.74279
263,131,4196.19628,-1591,FFFFF9C9,1471.86340
265,132,4228.22802,-1587,FFFFF9CD,1433.18017
267,133,4260.26025,-1582,FFFFF9D2,1505.04345
269,134,4292.29248,-1575,FFFFF9D9,1523.55920
271,135,4324.32421,-1570,FFFFF9DE,1523.27392
273,136,4356.35644,-1563,FFFFF9E5,1569.65722
275,137,4388.38818,-1557,FFFFF9EB,1451.98706
277,138,4420.42041,-1552,FFFFF9F0,1475.38500
279,139,4452.45263,-1545,FFFFF9F7,1431.74243
281,140,4484.48437,-1540,FFFFF9FC,1485.67810
283,141,4516.51660,-1535,FFFFFA01,1560.01367
285,142,4548.54833,-1532,FFFFFA04,1554.46435
287,143,4580.58056,-1484,FFFFFA34,1590.84436
289,144,4612.61279,-1488,FFFFFA30,1480.44360
291,145,4644.64453,-1493,FFFFFA2B,1440.13415
293,146,4676.67675,-1497,FFFFFA27,1419.59936
295,147,4708.70849,-1502,FFFFFA22,1459.65173
297,148,4740.74072,-1508,FFFFFA1C,1522.99340
299,149,4772.77294,-1514,FFFFFA16,1598.09887
301,150,4804.80468,-1521,FFFFFA0F,1764.20129
