
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
215,107,27612.90234,-1475,FFFFFA3D,1360.73132
217,108,27870.96679,-1489,FFFFFA2F,1546.36047
219,109,28129.03320,-1505,FFFFFA1F,1601.77429
221,110,28387.09765,-1526,FFFFFA0A,1621.78320
223,111,28645.16210,-1551,FFFFF9F1,1683.83691
225,112,28903.22656,-1576,FFFFF9D8,1453.55041
227,113,29161.29101,-1598,FFFFF9C2,1581.35217
229,114,29419.35546,-1616,FFFFF9B0,1630.18627
231,115,29677.41992,-1632,FFFFF9A0,1738.54455
233,116,29935.48437,-1646,FFFFF992,1801.61486
235,117,30193.54882,-1663,FFFFF981,1749.99621
237,118,30451.61328,-1681,FFFFF96F,1961.37573
239,119,30709.67773,-1694,FFFFF962,2030.01403
241,120,30967.74218,-1704,FFFFF958,3009.54248
243,121,31225.80664,-1708,FFFFF954,6837.37060
245,122,31483.87109,-1711,FFFFF951,6499.32373
247,123,31741.93554,-1715,FFFFF94D,2108.39404
249,124,32000.00000,-1719,FFFFF949,0.00000
1s
2s
