
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1582,FFFFF9D2,0.00000
3,1,258.06451,-1582,FFFFF9D2,1553.24719
5,2,516.12902,-1581,FFFFF9D3,1622.88098
7,3,774.19354,-1581,FFFFF9D3,1586.27966
9,4,1032.25805,-1581,FFFFF9D3,1568.08630
11,5,1290.32263,-1581,FFFFF9D3,1578.12377
13,6,1548.38708,-1580,FFFFF9D4,1597.01599
15,7,1806.45166,-1580,FFFFF9D4,1584.49804
17,8,2064.51611,-1580,FFFFF9D4,1584.50695
19,9,2322.58056,-1580,FFFFF9D4,1578.97680
21,10,2580.64526,-1582,FFFFF9D2,1570.70971
23,11,2838.70971,-1581,FFFFF9D3,1575.99890
25,12,3096.77416,-1581,FFFFF9D3,1605.78979
27,13,3354.83862,-1581,FFFFF9D3,1574.34252
29,14,3612.90332,-1581,FFFFF9D3,1572.45690
31,15,3870.96777,-1582,FFFFF9D2,1573.90661
33,16,4129.03222,-1581,FFFFF9D3,1584.69470
35,17,4387.09667,-1580,FFFFF9D4,1578.68640
37,18,4645.16113,-1581,FFFFF9D3,1576.74377
39,19,4903.22558,-1581,FFFFF9D3,1588.06359
41,20,5161.29052,-1581,FFFFF9D3,1581.19018
43,21,5419.35498,-1582,FFFFF9D2,1578.97875
45,22,5677.41943,-1582,FFFFF9D2,1584.00390
47,23,5935.48388,-1581,FFFFF9D3,1580.29626
49,24,6193.54833,-1581,FFFFF9D3,1587.93615
51,25,6451.61279,-1580,FFFFF9D4,1587.48559
53,26,6709.67724,-1580,FFFFF9D4,1589.85632
55,27,6967.74169,-1579,FFFFF9D5,1587.12512
57,28,7225.80664,-1579,FFFFF9D5,1581.14355
59,29,7483.87109,-1580,FFFFF9D4,1582.56799
61,30,7741.93554,-1581,FFFFF9D3,1583.73181
63,31,8000.00000,-1580,FFFFF9D4,1576.00512
65,32,8258.06445,-1580,FFFFF9D4,1580.83703
67,33,8516.12890,-1581,FFFFF9D3,1585.54809
69,34,8774.19335,-1581,FFFFF9D3,1584.16540
71,35,9032.25781,-1581,FFFFF9D3,1580.08532
73,36,9290.32226,-1581,FFFFF9D3,1582.39709
75,37,9548.38671,-1581,FFFFF9D3,1577.71838
77,38,9806.45117,-1582,FFFFF9D2,1583.24694
79,39,10064.51660,-1582,FFFFF9D2,1585.73156
81,40,10322.58105,-1582,FFFFF9D2,1583.81298
83,41,10580.64550,-1581,FFFFF9D3,1582.61877
85,42,10838.70996,-1581,FFFFF9D3,1579.01940
87,43,11096.77441,-1580,FFFFF9D4,1575.49035
89,44,11354.83886,-1582,FFFFF9D2,1575.09008
91,45,11612.90332,-1583,FFFFF9D1,1580.81774
93,46,11870.96777,-1583,FFFFF9D1,1578.91821
95,47,12129.03222,-1583,FFFFF9D1,1586.41882
97,48,12387.09667,-1583,FFFFF9D1,1580.63720
99,49,12645.16113,-1582,FFFFF9D2,1585.21667
101,50,12903.22558,-1582,FFFFF9D2,1579.58129
103,51,13161.29003,-1583,FFFFF9D1,1582.50036
105,52,13419.35449,-1583,FFFFF9D1,1578.48303
107,53,13677.41894,-1582,FFFFF9D2,1581.06042
