
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
217,108,3459.45947,-934,FFFFFC5A,979.90039
219,109,3491.49145,-932,FFFFFC5C,1070.14526
221,110,3523.52343,-929,FFFFFC5F,1114.80810
223,111,3555.55566,-925,FFFFFC63,954.94976
225,112,3587.58764,-923,FFFFFC65,1025.42932
227,113,3619.61962,-922,FFFFFC66,1029.39086
229,114,3651.65161,-921,FFFFFC67,986.64801
231,115,3683.68359,-920,FFFFFC68,951.86175
233,116,3715.71582,-920,FFFFFC68,961.47930
235,117,3747.74780,-921,FFFFFC67,938.45440
237,118,3779.77978,-921,FFFFFC67,904.56146
239,119,3811.81176,-922,FFFFFC66,969.78607
241,120,3843.84375,-925,FFFFFC63,1031.69201
243,121,3875.87597,-927,FFFFFC61,988.89508
245,122,3907.90795,-931,FFFFFC5D,1090.29528
247,123,3939.93994,-938,FFFFFC56,1005.53564
249,124,3971.97192,-943,FFFFFC51,1152.65588
251,125,4004.00390,-947,FFFFFC4D,994.92358
253,126,4036.03613,-952,FFFFFC48,1043.50781
255,127,4068.06811,-958,FFFFFC42,985.02893
257,128,4100.10009,-964,FFFFFC3C,1003.97412
259,129,4132.13232,-971,FFFFFC35,990.10980
261,130,4164.16406,-978,FFFFFC2E,941.72930
263,131,4196.19628,-984,FFFFFC28,946.82592
265,132,4228.22802,-990,FFFFFC22,948.91094
267,133,4260.26025,-995,FFFFFC1D,954.65405
269,134,4292.29248,-1002,FFFFFC16,990.14703
271,135,4324.32421,-1009,FFFFFC0F,1106.86840
273,136,4356.35644,-1014,FFFFFC0A,996.34729
275,137,4388.38818,-1018,FFFFFC06,1044.65832
277,138,4420.42041,-1022,FFFFFC02,1120.12939
279,139,4452.45263,-1026,FFFFFBFE,992.77227
281,140,4484.48437,-1031,FFFFFBF9,987.27862
283,141,4516.51660,-1037,FFFFFBF3,1056.84082
285,142,4548.54833,-1042,FFFFFBEE,1037.13708
