
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1567,FFFFF9E1,0.00000
3,1,128.51405,-1567,FFFFF9E1,1695.14172
5,2,257.02810,-1566,FFFFF9E2,1805.79565
7,3,385.54217,-1566,FFFFF9E2,1401.20068
9,4,514.05621,-1566,FFFFF9E2,1690.76489
11,5,642.57025,-1565,FFFFF9E3,1471.02319
13,6,771.08435,-1565,FFFFF9E3,1593.03955
15,7,899.59838,-1565,FFFFF9E3,1560.54882
17,8,1028.11242,-1567,FFFFF9E1,1523.58190
19,9,1156.62646,-1567,FFFFF9E1,1596.46606
21,10,1285.14050,-1568,FFFFF9E0,1492.48693
23,11,1413.65466,-1569,FFFFF9DF,1597.78503
25,12,1542.16870,-1568,FFFFF9E0,1533.43359
27,13,1670.68273,-1567,FFFFF9E1,1578.58593
29,14,1799.19677,-1567,FFFFF9E1,1542.62609
31,15,1927.71081,-1566,FFFFF9E2,1536.88452
33,16,2056.22485,-1566,FFFFF9E2,1588.91906
35,17,2184.73901,-1567,FFFFF9E1,1530.33288
37,18,2313.25292,-1567,FFFFF9E1,1602.53076
39,19,2441.76708,-1566,FFFFF9E2,1527.09509
41,20,2570.28100,-1566,FFFFF9E2,1573.80017
43,21,2698.79516,-1567,FFFFF9E1,1634.49658
45,22,2827.30932,-1567,FFFFF9E1,1581.50366
47,23,2955.82324,-1567,FFFFF9E1,1591.52551
49,24,3084.33740,-1568,FFFFF9E0,1519.94299
51,25,3212.85131,-1567,FFFFF9E1,1596.84704
53,26,3341.36547,-1567,FFFFF9E1,1549.59838
55,27,3469.87963,-1568,FFFFF9E0,1565.18444
57,28,3598.39355,-1567,FFFFF9E1,1552.72253
59,29,3726.90771,-1565,FFFFF9E3,1552.14208
61,30,3855.42163,-1566,FFFFF9E2,1566.27673
63,31,3983.93579,-1567,FFFFF9E1,1552.55578
65,32,4112.44970,-1566,FFFFF9E2,1584.98034
67,33,4240.96386,-1566,FFFFF9E2,1528.00402
69,34,4369.47802,-1567,FFFFF9E1,1554.96459
71,35,4497.99218,-1567,FFFFF9E1,1559.95825
73,36,4626.50585,-1567,FFFFF9E1,1558.26818
75,37,4755.02001,-1566,FFFFF9E2,1571.95190
77,38,4883.53417,-1566,FFFFF9E2,1537.58850
79,39,5012.04833,-1566,FFFFF9E2,1578.38891
81,40,5140.56201,-1566,FFFFF9E2,1529.76074
83,41,5269.07617,-1566,FFFFF9E2,1573.02062
85,42,5397.59033,-1565,FFFFF9E3,1566.70776
87,43,5526.10449,-1565,FFFFF9E3,1559.01513
89,44,5654.61865,-1566,FFFFF9E2,1575.54833
91,45,5783.13232,-1566,FFFFF9E2,1546.29772
93,46,5911.64648,-1566,FFFFF9E2,1579.15563
95,47,6040.16064,-1567,FFFFF9E1,1554.35937
97,48,6168.67480,-1566,FFFFF9E2,1571.67565
99,49,6297.18896,-1566,FFFFF9E2,1568.20410
101,50,6425.70263,-1565,FFFFF9E3,1549.28125
103,51,6554.21679,-1564,FFFFF9E4,1566.47583
105,52,6682.73095,-1565,FFFFF9E3,1560.79223
107,53,6811.24511,-1565,FFFFF9E3,1564.05651
109,54,6939.75927,-1565,FFFFF9E3,1540.67553
111,55,7068.27294,-1566,FFFFF9E2,1568.35156
113,56,7196.78710,-1566,FFFFF9E2,1563.09667
115,57,7325.30126,-1567,FFFFF9E1,1561.46081
117,58,7453.81542,-1567,FFFFF9E1,1578.76782
119,59,7582.32910,-1567,FFFFF9E1,1553.93981
121,60,7710.84326,-1567,FFFFF9E1,1565.19433
123,61,7839.35742,-1566,FFFFF9E2,1551.93041
125,62,7967.87158,-1566,FFFFF9E2,1559.59606
127,63,8096.38574,-1566,FFFFF9E2,1569.24633
129,64,8224.89941,-1565,FFFFF9E3,1568.87963
131,65,8353.41406,-1565,FFFFF9E3,1561.90979
133,66,8481.92773,-1566,FFFFF9E2,1563.88769
135,67,8610.44140,-1566,FFFFF9E2,1568.20288
137,68,8738.95605,-1566,FFFFF9E2,1565.43273
139,69,8867.46972,-1567,FFFFF9E1,1557.40856
141,70,8995.98437,-1566,FFFFF9E2,1572.58032
143,71,9124.49804,-1567,FFFFF9E1,1559.97985
145,72,9253.01171,-1566,FFFFF9E2,1573.13562
147,73,9381.52636,-1565,FFFFF9E3,1551.92712
149,74,9510.04003,-1565,FFFFF9E3,1572.50939
151,75,9638.55468,-1565,FFFFF9E3,1556.93225
153,76,9767.06835,-1566,FFFFF9E2,1557.03247
155,77,9895.58203,-1566,FFFFF9E2,1554.83337
157,78,10024.09667,-1566,FFFFF9E2,1546.50305
159,79,10152.61035,-1566,FFFFF9E2,1568.67333
161,80,10281.12402,-1565,FFFFF9E3,1553.11718
163,81,10409.63867,-1566,FFFFF9E2,1557.68713
165,82,10538.15234,-1566,FFFFF9E2,1560.46704
167,83,10666.66699,-1565,FFFFF9E3,1569.55371
169,84,10795.18066,-1565,FFFFF9E3,1563.42993
171,85,10923.69433,-1566,FFFFF9E2,1552.57312
173,86,11052.20898,-1566,FFFFF9E2,1564.25878
175,87,11180.72265,-1565,FFFFF9E3,1559.58276
177,88,11309.23730,-1565,FFFFF9E3,1567.07604
179,89,11437.75097,-1564,FFFFF9E4,1554.72546
181,90,11566.26464,-1565,FFFFF9E3,1566.06811
183,91,11694.77929,-1566,FFFFF9E2,1565.68469
185,92,11823.29296,-1564,FFFFF9E4,1551.82604
187,93,11951.80761,-1564,FFFFF9E4,1561.71447
189,94,12080.32128,-1565,FFFFF9E3,1552.23986
191,95,12208.83496,-1565,FFFFF9E3,1568.45178
193,96,12337.34960,-1565,FFFFF9E3,1565.69128
195,97,12465.86328,-1566,FFFFF9E2,1557.70471
197,98,12594.37792,-1566,FFFFF9E2,1564.41137
199,99,12722.89160,-1565,FFFFF9E3,1549.72375
201,100,12851.40527,-1565,FFFFF9E3,1562.84716
203,101,12979.91992,-1565,FFFFF9E3,1549.81237
205,102,13108.43359,-1566,FFFFF9E2,1569.69396
207,103,13236.94824,-1566,FFFFF9E2,1549.35717
