,,,,,
,,,,,
AMiRo LightRing 1.0,,,,,
Bootloader 1.1.1,,,,,
ChibiOS 2.6.8,,,,,
Board ID: 36,,,,,
,,,,,
starting robot ,,,,,
before init ,,,,,
starting robot ,,,,,
before init ,,,,,
init ,,,,,
start I2S -> sleep 1s ,,,,,
,,,,,
ChibiOS/RT Shell,,,,,
ch> before start DMA ,,,,,
before stop DMA ,,,,,
stop DMA -> sleep 1s ,,,,,
before stop I2S ,,,,,
stop I2S -> 1s ,,,,,
Cycle 0,,,,,
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0,-1406,FFFFFA82,0
3,1,64.12825,-1717,FFFFF94B,2802.59912
5,2,128.25651,-1676,FFFFF974,1538.25756
7,3,192.38476,-1380,FFFFFA9C,1179.36877
9,4,256.51303,-1533,FFFFFA03,1679.91711
11,5,320.64129,-1772,FFFFF914,1752.53356
13,6,384.76953,-1531,FFFFFA05,1388.57568
15,7,448.89779,-1381,FFFFFA9B,1496.85632
17,8,513.02606,-1680,FFFFF970,1694.4259
19,9,577.15429,-1719,FFFFF949,1554.18054
21,10,641.28259,-1406,FFFFFA82,1429.03308
23,11,705.41082,-1482,FFFFFA36,1686.45178
25,12,769.53906,-1764,FFFFF91C,1612.13952
27,13,833.66735,-1581,FFFFF9D3,1462.70166
29,14,897.79559,-1368,FFFFFAA8,1588.91711
31,15,961.92382,-1632,FFFFF9A0,1663.50817
33,16,1026.05212,-1746,FFFFF92E,1487.39758
35,17,1090.18041,-1439,FFFFFA61,1498.81481
37,18,1154.30859,-1439,FFFFFA61,1623.39794
39,19,1218.43688,-1747,FFFFF92D,1622.78771
41,20,1282.56518,-1634,FFFFF99E,1473.78979
43,21,1346.69335,-1372,FFFFFAA4,1571.36352
45,22,1410.82165,-1585,FFFFF9CF,1601.46752
47,23,1474.94995,-1766,FFFFF91A,1564.34655
49,24,1539.07812,-1482,FFFFFA36,1493.42236
51,25,1603.20642,-1405,FFFFFA83,1613.62451
53,26,1667.33471,-1716,FFFFF94C,1604.87438
55,27,1731.46289,-1677,FFFFF973,1503.9851
57,28,1795.59118,-1381,FFFFFA9B,1545.14941
59,29,1859.71948,-1533,FFFFFA03,1591.2279
61,30,1923.84765,-1774,FFFFF912,1504.96545
63,31,1987.97595,-1532,FFFFFA04,1536.05139
65,32,2052.10424,-1383,FFFFFA99,1583.70092
67,33,2116.23242,-1680,FFFFF970,1587.43835
69,34,2180.36083,-1719,FFFFF949,1509.03564
71,35,2244.48901,-1407,FFFFFA81,1584.43298
73,36,2308.61718,-1483,FFFFFA35,1583.99597
75,37,2372.7456,-1766,FFFFF91A,1606.61657
77,38,2436.87377,-1584,FFFFF9D0,1550.47839
79,39,2501.00195,-1371,FFFFFAA5,1572.24182
81,40,2565.13037,-1636,FFFFF99C,1543.46008
83,41,2629.25854,-1751,FFFFF929,1511.76098
85,42,2693.38671,-1444,FFFFFA5C,1526.21154
87,43,2757.51513,-1444,FFFFFA5C,1323.14428
89,44,2821.64331,-1751,FFFFF929,1739.01013
91,45,2885.77148,-1636,FFFFF99C,1598.90258
93,46,2949.8999,-1373,FFFFFAA3,1641.60766
