145,0,0,0,0,0
146,20007C94,536902804, 1F250000,522518528,2
147,0,0,0,0,0
148,A0007C93,-1610580845, 1F24C000,522502144, 0000000A
149,0,0,0,0,0
150,40007C93,1073773715, 1F24C000,522502144,4
151,0,0,0,0,0
152,40007C93,1073773715, 1F24C000,522502144,4
153,0,0,0,0,0
154,00007C93,31891, 1F24C000,522502144,0
155,0,0,0,0,0
156,A0007C92,-1610580846, 1F248000,522485760, 0000000A
157,0,0,0,0,0
158,60007C94,1610644628, 1F250000,522518528,6
159,0,0,0,0,0
160,C0007C94,-1073709932, 1F250000,522518528, 0000000C
161,0,0,0,0,0
162,E0007C94,-536839020, 1F250000,522518528, 0000000E
163,0,0,0,0,0
164,20007C94,536902804, 1F250000,522518528,2
165,0,0,0,0,0
166,C0007C91,-1073709935, 1F244000,522469376, 0000000C
167,0,0,0,0,0
168,E0007C91,-536839023, 1F244000,522469376, 0000000E
169,0,0,0,0,0
170,A0007C91,-1610580847, 1F244000,522469376, 0000000A
171,0,0,0,0,0
172,C0007C90,-1073709936, 1F240000,522452992, 0000000C
173,0,0,0,0,0
174,E0007C91,-536839023, 1F244000,522469376, 0000000E
175,0,0,0,0,0
176,A0007C91,-1610580847, 1F244000,522469376, 0000000A
177,0,0,0,0,0
178,00007C91,31889, 1F244000,522469376,0
179,0,0,0,0,0
180,80007C90,-2147451760, 1F240000,522452992,8
181,0,0,0,0,0
182,A0007C93,-1610580845, 1F24C000,522502144, 0000000A
183,0,0,0,0,0
184,20007C94,536902804, 1F250000,522518528,2
185,0,0,0,0,0
186,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
187,0,0,0,0,0
188,20007C94,536902804, 1F250000,522518528,2
189,0,0,0,0,0
190,00007C92,31890, 1F248000,522485760,0
191,0,0,0,0,0
192,60007C92,1610644626, 1F248000,522485760,6
193,0,0,0,0,0
194,C0007C91,-1073709935, 1F244000,522469376, 0000000C
195,0,0,0,0,0
196,20007C91,536902801, 1F244000,522469376,2
197,0,0,0,0,0
198,20007C91,536902801, 1F244000,522469376,2
199,0,0,0,0,0
200,E0007C90,-536839024, 1F240000,522452992, 0000000E
201,0,0,0,0,0
202,60007C90,1610644624, 1F240000,522452992,6
203,0,0,0,0,0
204,A0007C90,-1610580848, 1F240000,522452992, 0000000A
205,0,0,0,0,0
206,20007C91,536902801, 1F244000,522469376,2
207,0,0,0,0,0
208,20007C91,536902801, 1F244000,522469376,2
209,0,0,0,0,0
210,60007C90,1610644624, 1F240000,522452992,6
211,0,0,0,0,0
212,A0007C8F,-1610580849, 1F23C000,522436608, 0000000A
213,0,0,0,0,0
214,00007C90,31888, 1F240000,522452992,0
215,0,0,0,0,0
216,E0007C8F,-536839025, 1F23C000,522436608, 0000000E
217,0,0,0,0,0
218,20007C8F,536902799, 1F23C000,522436608,2
219,0,0,0,0,0
220,E0007C8C,-536839028, 1F230000,522387456, 0000000E
221,0,0,0,0,0
222,C0007C8C,-1073709940, 1F230000,522387456, 0000000C
223,0,0,0,0,0
224,20007C8D,536902797, 1F234000,522403840,2
225,0,0,0,0,0
226,80007C8C,-2147451764, 1F230000,522387456,8
227,0,0,0,0,0
228,40007C93,1073773715, 1F24C000,522502144,4
229,0,0,0,0,0
230,80007C94,-2147451756, 1F250000,522518528,8
231,0,0,0,0,0
232,40007C96,1073773718, 1F258000,522551296,4
233,0,0,0,0,0
234,E0007C97,-536839017, 1F25C000,522567680, 0000000E
235,0,0,0,0,0
236,40007C87,1073773703, 1F21C000,522305536,4
237,0,0,0,0,0
238,C0007C87,-1073709945, 1F21C000,522305536, 0000000C
239,0,0,0,0,0
240,20007C88,536902792, 1F220000,522321920,2
241,0,0,0,0,0
242,00007C87,31879, 1F21C000,522305536,0
243,0,0,0,0,0
244,A0007C86,-1610580858, 1F218000,522289152, 0000000A
245,0,0,0,0,0
246,A0007C86,-1610580858, 1F218000,522289152, 0000000A
247,0,0,0,0,0
248,80007C86,-2147451770, 1F218000,522289152,8
249,0,0,0,0,0
250,40007C95,1073773717, 1F254000,522534912,4
251,0,0,0,0,0
252,A0007C94,-1610580844, 1F250000,522518528, 0000000A
253,0,0,0,0,0
254,00007C94,31892, 1F250000,522518528,0
255,0,0,0,0,0
256,E0007C93,-536839021, 1F24C000,522502144, 0000000E
257,0,0,0,0,0
258,20007C95,536902805, 1F254000,522534912,2
259,0,0,0,0,0
260,A0007C94,-1610580844, 1F250000,522518528, 0000000A
261,0,0,0,0,0
262,40007C94,1073773716, 1F250000,522518528,4
263,0,0,0,0,0
264,40007C94,1073773716, 1F250000,522518528,4
265,0,0,0,0,0
266,E0007C93,-536839021, 1F24C000,522502144, 0000000E
267,0,0,0,0,0
268,80007C93,-2147451757, 1F24C000,522502144,8
269,0,0,0,0,0
270,00007C94,31892, 1F250000,522518528,0
271,0,0,0,0,0
272,20007C95,536902805, 1F254000,522534912,2
273,0,0,0,0,0
274,80007C7B,-2147451781, 1F1EC000,522108928,8
275,0,0,0,0,0
276,E0007C7B,-536839045, 1F1EC000,522108928, 0000000E
277,0,0,0,0,0
278,60007C7D,1610644605, 1F1F4000,522141696,6
279,0,0,0,0,0
280,E0007C9B,-536839013, 1F26C000,522633216, 0000000E
281,0,0,0,0,0
282,40007C9B,1073773723, 1F26C000,522633216,4
283,0,0,0,0,0
284,C0007C99,-1073709927, 1F264000,522600448, 0000000C
285,0,0,0,0,0
286,80007C98,-2147451752, 1F260000,522584064,8
287,0,0,0,0,0
288,E0007C80,-536839040, 1F200000,522190848, 0000000E
289,0,0,0,0,0
290,20007C80,536902784, 1F200000,522190848,2
291,0,0,0,0,0
292,80007C7F,-2147451777, 1F1FC000,522174464,8
293,0,0,0,0,0
294,60007C7F,1610644607, 1F1FC000,522174464,6
295,0,0,0,0,0
296,20007CA3,536902819, 1F28C000,522764288,2
297,0,0,0,0,0
298,20007CA4,536902820, 1F290000,522780672,2
299,0,0,0,0,0
300,60007CA4,1610644644, 1F290000,522780672,6
301,0,0,0,0,0
302,60007CA5,1610644645, 1F294000,522797056,6
303,0,0,0,0,0
304,40007C89,1073773705, 1F224000,522338304,4
305,0,0,0,0,0
306,E0007C89,-536839031, 1F224000,522338304, 0000000E
307,0,0,0,0,0
308,C0007C8A,-1073709942, 1F228000,522354688, 0000000C
309,0,0,0,0,0
310,40007C8C,1073773708, 1F230000,522387456,4
311,0,0,0,0,0
312,80007C85,-2147451771, 1F214000,522272768,8
313,0,0,0,0,0
314,80007C86,-2147451770, 1F218000,522289152,8
315,0,0,0,0,0
316,20007C87,536902791, 1F21C000,522305536,2
317,0,0,0,0,0
318,40007C96,1073773718, 1F258000,522551296,4
319,0,0,0,0,0
320,80007C97,-2147451753, 1F25C000,522567680,8
321,0,0,0,0,0
322,C0007C99,-1073709927, 1F264000,522600448, 0000000C
323,0,0,0,0,0
324,E0007C99,-536839015, 1F264000,522600448, 0000000E
325,0,0,0,0,0
326,00007C92,31890, 1F248000,522485760,0
327,0,0,0,0,0
328,60007C92,1610644626, 1F248000,522485760,6
329,0,0,0,0,0
330,20007C90,536902800, 1F240000,522452992,2
331,0,0,0,0,0
332,C0007C8E,-1073709938, 1F238000,522420224, 0000000C
333,0,0,0,0,0
334,60007C8D,1610644621, 1F234000,522403840,6
335,0,0,0,0,0
336,60007C8D,1610644621, 1F234000,522403840,6
337,0,0,0,0,0
338,40007C8E,1073773710, 1F238000,522420224,4
339,0,0,0,0,0
340,40007C8F,1073773711, 1F23C000,522436608,4
341,0,0,0,0,0
342,40007C7C,1073773692, 1F1F0000,522125312,4
343,0,0,0,0,0
344,40007C7E,1073773694, 1F1F8000,522158080,4
345,0,0,0,0,0
346,C0007C81,-1073709951, 1F204000,522207232, 0000000C
347,0,0,0,0,0
348,80007C87,-2147451769, 1F21C000,522305536,8
349,0,0,0,0,0
350,C0007C89,-1073709943, 1F224000,522338304, 0000000C
351,0,0,0,0,0
352,00007C8A,31882, 1F228000,522354688,0
353,0,0,0,0,0
354,40007C89,1073773705, 1F224000,522338304,4
355,0,0,0,0,0
356,00007C8D,31885, 1F234000,522403840,0
357,0,0,0,0,0
358,00007C8E,31886, 1F238000,522420224,0
359,0,0,0,0,0
360,40007C8F,1073773711, 1F23C000,522436608,4
361,0,0,0,0,0
362,C0007C8E,-1073709938, 1F238000,522420224, 0000000C
363,0,0,0,0,0
364,60007C8C,1610644620, 1F230000,522387456,6
365,0,0,0,0,0
366,80007C8B,-2147451765, 1F22C000,522371072,8
367,0,0,0,0,0
368,20007C8D,536902797, 1F234000,522403840,2
369,0,0,0,0,0
370,60007C8F,1610644623, 1F23C000,522436608,6
371,0,0,0,0,0
372,00007C8D,31885, 1F234000,522403840,0
373,0,0,0,0,0
374,C0007C8D,-1073709939, 1F234000,522403840, 0000000C
375,0,0,0,0,0
376,80007C8E,-2147451762, 1F238000,522420224,8
377,0,0,0,0,0
378,60007C8E,1610644622, 1F238000,522420224,6
379,0,0,0,0,0
380,80007C92,-2147451758, 1F248000,522485760,8
381,0,0,0,0,0
382,60007C92,1610644626, 1F248000,522485760,6
383,0,0,0,0,0
384,80007C92,-2147451758, 1F248000,522485760,8
385,0,0,0,0,0
386,E0007C91,-536839023, 1F244000,522469376, 0000000E
387,0,0,0,0,0
388,40007C96,1073773718, 1F258000,522551296,4
389,0,0,0,0,0
390,A0007C95,-1610580843, 1F254000,522534912, 0000000A
391,0,0,0,0,0
392,C0007C95,-1073709931, 1F254000,522534912, 0000000C
393,0,0,0,0,0
394,40007C98,1073773720, 1F260000,522584064,4
395,0,0,0,0,0
396,E0007C98,-536839016, 1F260000,522584064, 0000000E
397,0,0,0,0,0
398,80007C98,-2147451752, 1F260000,522584064,8
399,0,0,0,0,0
400,60007C98,1610644632, 1F260000,522584064,6
401,0,0,0,0,0
402,40007C92,1073773714, 1F248000,522485760,4
403,0,0,0,0,0
404,C0007C92,-1073709934, 1F248000,522485760, 0000000C
405,0,0,0,0,0
406,C0007C92,-1073709934, 1F248000,522485760, 0000000C
407,0,0,0,0,0
408,C0007C92,-1073709934, 1F248000,522485760, 0000000C
409,0,0,0,0,0
410,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
411,0,0,0,0,0
412,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
413,0,0,0,0,0
414,E0007C92,-536839022, 1F248000,522485760, 0000000E
415,0,0,0,0,0
416,60007C93,1610644627, 1F24C000,522502144,6
417,0,0,0,0,0
418,A0007C93,-1610580845, 1F24C000,522502144, 0000000A
419,0,0,0,0,0
420,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
421,0,0,0,0,0
422,C0007C92,-1073709934, 1F248000,522485760, 0000000C
423,0,0,0,0,0
424,00007C90,31888, 1F240000,522452992,0
425,0,0,0,0,0
426,80007C8F,-2147451761, 1F23C000,522436608,8
427,0,0,0,0,0
428,80007C8F,-2147451761, 1F23C000,522436608,8
429,0,0,0,0,0
430,E0007C8F,-536839025, 1F23C000,522436608, 0000000E
431,0,0,0,0,0
432,40007C8F,1073773711, 1F23C000,522436608,4
433,0,0,0,0,0
434,60007C8F,1610644623, 1F23C000,522436608,6
435,0,0,0,0,0
436,60007C8F,1610644623, 1F23C000,522436608,6
437,0,0,0,0,0
438,40007C8F,1073773711, 1F23C000,522436608,4
439,0,0,0,0,0
440,80007C8E,-2147451762, 1F238000,522420224,8
441,0,0,0,0,0
442,A0007C8E,-1610580850, 1F238000,522420224, 0000000A
443,0,0,0,0,0
444,E0007C8E,-536839026, 1F238000,522420224, 0000000E
445,0,0,0,0,0
446,A0007C8E,-1610580850, 1F238000,522420224, 0000000A
447,0,0,0,0,0
448,80007C94,-2147451756, 1F250000,522518528,8
449,0,0,0,0,0
450,40007C94,1073773716, 1F250000,522518528,4
451,0,0,0,0,0
452,80007C93,-2147451757, 1F24C000,522502144,8
453,0,0,0,0,0
454,80007C92,-2147451758, 1F248000,522485760,8
455,0,0,0,0,0
456,E0007C8D,-536839027, 1F234000,522403840, 0000000E
457,0,0,0,0,0
458,00007C8E,31886, 1F238000,522420224,0
459,0,0,0,0,0
460,40007C8E,1073773710, 1F238000,522420224,4
461,0,0,0,0,0
462,00007C97,31895, 1F25C000,522567680,0
463,0,0,0,0,0
464,C0007C95,-1073709931, 1F254000,522534912, 0000000C
465,0,0,0,0,0
466,C0007C94,-1073709932, 1F250000,522518528, 0000000C
467,0,0,0,0,0
468,20007C94,536902804, 1F250000,522518528,2
469,0,0,0,0,0
470,20007C92,536902802, 1F248000,522485760,2
471,0,0,0,0,0
472,E0007C90,-536839024, 1F240000,522452992, 0000000E
473,0,0,0,0,0
474,40007C90,1073773712, 1F240000,522452992,4
475,0,0,0,0,0
476,60007C8F,1610644623, 1F23C000,522436608,6
477,0,0,0,0,0
478,80007C94,-2147451756, 1F250000,522518528,8
479,0,0,0,0,0
480,80007C93,-2147451757, 1F24C000,522502144,8
481,0,0,0,0,0
482,20007C93,536902803, 1F24C000,522502144,2
483,0,0,0,0,0
484,20007C93,536902803, 1F24C000,522502144,2
485,0,0,0,0,0
486,C0007C91,-1073709935, 1F244000,522469376, 0000000C
487,0,0,0,0,0
488,80007C91,-2147451759, 1F244000,522469376,8
489,0,0,0,0,0
490,E0007C92,-536839022, 1F248000,522485760, 0000000E
491,0,0,0,0,0
492,20007C94,536902804, 1F250000,522518528,2
493,0,0,0,0,0
494,20007C93,536902803, 1F24C000,522502144,2
495,0,0,0,0,0
496,40007C93,1073773715, 1F24C000,522502144,4
497,0,0,0,0,0
498,60007C93,1610644627, 1F24C000,522502144,6
499,0,0,0,0,0
500,40007C8F,1073773711, 1F23C000,522436608,4
501,0,0,0,0,0
502,C0007C8F,-1073709937, 1F23C000,522436608, 0000000C
503,0,0,0,0,0
504,C0007C8F,-1073709937, 1F23C000,522436608, 0000000C
505,0,0,0,0,0
506,40007C90,1073773712, 1F240000,522452992,4
507,0,0,0,0,0
