1,C000F8AA,-1073678166, 3E2A8000,1042972672, 0000000C
3,8000F8A7,-2147419993, 3E29C000,1042923520,8
5,0000F8A4,63652, 3E290000,1042874368,0
7,0000F988,63880, 3E620000,1046609920,0
9,4000F97C,1073805692, 3E5F0000,1046413312,4
11,8000F96E,-2147419794, 3E5B8000,1046183936,8
13,0000F960,63840, 3E580000,1045954560,0
15,0000F950,63824, 3E540000,1045692416,0
17,0000F940,63808, 3E500000,1045430272,0
19,8000F933,-2147419853, 3E4CC000,1045217280,8
21,C000F9C1,-1073677887, 3E704000,1047543808, 0000000C
23,4000F9C5,1073805765, 3E714000,1047609344,4
25,4000F9C7,1073805767, 3E71C000,1047642112,4
27,0000F9CA,63946, 3E728000,1047691264,0
29,8000F9CC,-2147419700, 3E730000,1047724032,8
31,C000F9CE,-1073677874, 3E738000,1047756800, 0000000C
33,C000F8E8,-1073678104, 3E3A0000,1043988480, 0000000C
35,C000F8F5,-1073678091, 3E3D4000,1044201472, 0000000C
37,4000F907,1073805575, 3E41C000,1044496384,4
39,8000F919,-2147419879, 3E464000,1044791296,8
41,C000F928,-1073678040, 3E4A0000,1045037056, 0000000C
43,0000F935,63797, 3E4D4000,1045250048,0
45,C000F93D,-1073678019, 3E4F4000,1045381120, 0000000C
47,C000F897,-1073678185, 3E25C000,1042661376, 0000000C
49,C000F890,-1073678192, 3E240000,1042546688, 0000000C
51,0000F88B,63627, 3E22C000,1042464768,0
53,0000F888,63624, 3E220000,1042415616,0
55,0000F889,63625, 3E224000,1042432000,0
57,C000F88D,-1073678195, 3E234000,1042497536, 0000000C
59,4000F929,1073805609, 3E4A4000,1045053440,4
61,0000F920,63776, 3E480000,1044905984,0
63,C000F919,-1073678055, 3E464000,1044791296, 0000000C
65,C000F915,-1073678059, 3E454000,1044725760, 0000000C
67,4000F90E,1073805582, 3E438000,1044611072,4
69,4000F903,1073805571, 3E40C000,1044430848,4
71,8000F8F6,-2147419914, 3E3D8000,1044217856,8
73,0000F9CA,63946, 3E728000,1047691264,0
75,0000F9C4,63940, 3E710000,1047592960,0
77,0000F9BC,63932, 3E6F0000,1047461888,0
79,4000F9B0,1073805744, 3E6C0000,1047265280,4
81,4000F9A6,1073805734, 3E698000,1047101440,4
83,8000F99E,-2147419746, 3E678000,1046970368,8
85,C000F943,-1073678013, 3E50C000,1045479424, 0000000C
87,4000F94C,1073805644, 3E530000,1045626880,4
89,8000F958,-2147419816, 3E560000,1045823488,8
91,C000F968,-1073677976, 3E5A0000,1046085632, 0000000C
93,0000F979,63865, 3E5E4000,1046364160,0
95,0000F989,63881, 3E624000,1046626304,0
97,4000F998,1073805720, 3E660000,1046872064,4
99,8000F8A6,-2147419994, 3E298000,1042907136,8
101,C000F8AE,-1073678162, 3E2B8000,1043038208, 0000000C
103,8000F8B5,-2147419979, 3E2D4000,1043152896,8
105,8000F8BA,-2147419974, 3E2E8000,1043234816,8
107,4000F8BE,1073805502, 3E2F8000,1043300352,4
109,4000F8C4,1073805508, 3E310000,1043398656,4
111,C000F8E2,-1073678110, 3E388000,1043890176, 0000000C
113,4000F8D5,1073805525, 3E354000,1043677184,4
115,C000F8C7,-1073678137, 3E31C000,1043447808, 0000000C
117,4000F8BE,1073805502, 3E2F8000,1043300352,4
119,8000F8B6,-2147419978, 3E2D8000,1043169280,8
121,8000F8B1,-2147419983, 3E2C4000,1043087360,8
123,0000F8AE,63662, 3E2B8000,1043038208,0
125,4000F998,1073805720, 3E660000,1046872064,4
127,C000F991,-1073677935, 3E644000,1046757376, 0000000C
129,4000F988,1073805704, 3E620000,1046609920,4
131,0000F97D,63869, 3E5F4000,1046429696,0
133,4000F970,1073805680, 3E5C0000,1046216704,4
135,C000F961,-1073677983, 3E584000,1045970944, 0000000C
137,8000F9A7,-2147419737, 3E69C000,1047117824,8
139,C000F9B4,-1073677900, 3E6D0000,1047330816, 0000000C
141,4000F9BD,1073805757, 3E6F4000,1047478272,4
143,0000F9C2,63938, 3E708000,1047560192,0
145,4000F9C3,1073805763, 3E70C000,1047576576,4
147,C000F9C3,-1073677885, 3E70C000,1047576576, 0000000C
