
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

i, k, frequency, d1, d1, i2s_fft_buf[k]
219,109,6989.97998,-1511,FFFFFA19,1509.40344
221,110,7054.10839,-1511,FFFFFA19,1539.82067
223,111,7118.23632,-1511,FFFFFA19,1623.61169
225,112,7182.36474,-1511,FFFFFA19,1610.78784
227,113,7246.49316,-1512,FFFFFA18,1548.59045
229,114,7310.62109,-1513,FFFFFA17,1506.27819
231,115,7374.74951,-1515,FFFFFA15,1558.84826
233,116,7438.87792,-1515,FFFFFA15,1603.74279
235,117,7503.00585,-1515,FFFFFA15,1624.93493
237,118,7567.13427,-1517,FFFFFA13,1552.26501
239,119,7631.26269,-1518,FFFFFA12,1517.32885
241,120,7695.39062,-1520,FFFFFA10,1532.96752
243,121,7759.51904,-1522,FFFFFA0E,1575.04675
245,122,7823.64746,-1525,FFFFFA0B,1638.35156
247,123,7887.77539,-1527,FFFFFA09,1555.47180
249,124,7951.90380,-1529,FFFFFA07,1512.84130
251,125,8016.03222,-1532,FFFFFA04,1554.31884
253,126,8080.16015,-1535,FFFFFA01,1606.27783
255,127,8144.28857,-1539,FFFFF9FD,1600.07800
257,128,8208.41699,-1541,FFFFF9FB,1558.75659
259,129,8272.54492,-1544,FFFFF9F8,1513.84289
261,130,8336.67382,-1549,FFFFF9F3,1553.12927
263,131,8400.80175,-1552,FFFFF9F0,1589.12817
265,132,8464.92968,-1555,FFFFF9ED,1597.29895
267,133,8529.05859,-1558,FFFFF9EA,1556.51965
269,134,8593.18652,-1562,FFFFF9E6,1514.88989
271,135,8657.31445,-1565,FFFFF9E3,1541.61181
273,136,8721.44335,-1568,FFFFF9E0,1580.61987
275,137,8785.57128,-1571,FFFFF9DD,1602.18798
277,138,8849.69921,-1573,FFFFF9DB,1558.99511
279,139,8913.82812,-1577,FFFFF9D7,1529.80847
281,140,8977.95605,-1579,FFFFF9D5,1542.61254
283,141,9042.08398,-1581,FFFFF9D3,1587.16906
285,142,9106.21289,-1583,FFFFF9D1,1608.09448
287,143,9170.34082,-1587,FFFFF9CD,1563.35424
289,144,9234.46875,-1589,FFFFF9CB,1522.76086
291,145,9298.59765,-1591,FFFFF9C9,1557.97460
293,146,9362.72558,-1595,FFFFF9C5,1583.26928
295,147,9426.85351,-1598,FFFFF9C2,1595.42712
