

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
215,107,6861.72363,-1644,FFFFF994,1564.16882
217,108,6925.85156,-1641,FFFFF997,1600.82067
219,109,6989.97998,-1637,FFFFF99B,1426.32543
221,110,7054.10839,-1634,FFFFF99E,1464.12780
223,111,7118.23632,-1629,FFFFF9A3,1602.03698
225,112,7182.36474,-1623,FFFFF9A9,1535.31982
227,113,7246.49316,-1616,FFFFF9B0,1404.63110
229,114,7310.62109,-1607,FFFFF9B9,1551.92346
231,115,7374.74951,-1599,FFFFF9C1,1615.44287
233,116,7438.87792,-1591,FFFFF9C9,1432.23071
235,117,7503.00585,-1583,FFFFF9D1,1457.99536
237,118,7567.13427,-1577,FFFFF9D7,1635.36791
239,119,7631.26269,-1568,FFFFF9E0,1519.70520
241,120,7695.39062,-1559,FFFFF9E9,1423.01879
243,121,7759.51904,-1551,FFFFF9F1,1572.19506
245,122,7823.64746,-1544,FFFFF9F8,1610.96154
247,123,7887.77539,-1537,FFFFF9FF,1448.10131
249,124,7951.90380,-1531,FFFFFA05,1485.10388
251,125,8016.03222,-1524,FFFFFA0C,1623.46936
253,126,8080.16015,-1516,FFFFFA14,1539.71447
255,127,8144.28857,-1507,FFFFFA1D,1438.71081
257,128,8208.41699,-1500,FFFFFA24,1555.89257
259,129,8272.54492,-1494,FFFFFA2A,1598.49780
261,130,8336.67382,-1488,FFFFFA30,1444.41418
263,131,8400.80175,-1484,FFFFFA34,1469.70471
265,132,8464.92968,-1481,FFFFFA37,1628.46691
267,133,8529.05859,-1477,FFFFFA3B,1529.93505
269,134,8593.18652,-1472,FFFFFA40,1427.13085
271,135,8657.31445,-1469,FFFFFA43,1572.83471
273,136,8721.44335,-1466,FFFFFA46,1608.55810
275,137,8785.57128,-1465,FFFFFA47,1456.52807
277,138,8849.69921,-1465,FFFFFA47,1477.53869
279,139,8913.82812,-1464,FFFFFA48,1593.01184
281,140,8977.95605,-1463,FFFFFA49,1536.53784
283,141,9042.08398,-1463,FFFFFA49,1423.29223
285,142,9106.21289,-1465,FFFFFA47,1563.79431
287,143,9170.34082,-1604,FFFFF9BC,1584.92602
289,144,9234.46875,-1609,FFFFF9B7,1457.36608
