1,1073805643, 4000F94B,4,0,0,0, F,9,4, B ,1
3,1073805612, 4000F92C,4,0,0,0, F,9,2, C ,1
5,-2147419885, 8000F913,8,0,0,0, F,9,1,3,-1
7,1073805565, 4000F8FD,4,0,0,0, F,8, F, D ,1
9,-1073678101, C000F8EB, C,0,0,0, F,8, E, B ,-1
11,-2147419944, 8000F8D8,8,0,0,0, F,8, D,8,-1
13,-2147419478, 8000FAAA,8,0,0,0, F, A, A, A ,-1
15,-2147419470, 8000FAB2,8,0,0,0, F, A, B,2,-1
17,-1073677640, C000FAB8, C,0,0,0, F, A, B,8,-1
19,-2147419464, 8000FAB8,8,0,0,0, F, A, B,8,-1
21,-2147419475, 8000FAAD,8,0,0,0, F, A, A, D ,-1
23,-1073677675, C000FA95, C,0,0,0, F, A,9,,-1
25,1073805947, 4000FA7B,4,0,0,0, F, A,7, B ,1
27,1073805600, 4000F920,4,0,0,0, F,9,2,0,1
29,1073805624, 4000F938,4,0,0,0, F,9,3,8,1
31,1073805652, 4000F954,4,0,0,0, F,9,5,4,1
33,1073805686, 4000F976,4,0,0,0, F,9,7,6,1
35,-2147419754, 8000F996,8,0,0,0, F,9,9,6,-1
37,-2147419725, 8000F9B3,8,0,0,0, F,9, B,3,-1
39,1073805779, 4000F9D3,4,0,0,0, F,9, D,3,1
41,-1073678422, C000F7AA, C,0,0,0, F,7, A, A ,-1
43,-1073678409, C000F7B7, C,0,0,0, F,7, B,7,-1
45,1073805252, 4000F7C4,4,0,0,0, F,7, C,4,1
47,-1073678377, C000F7D7, C,0,0,0, F,7, D,7,-1
49,63459, 0000F7E3,0,0,0,0, F,7, E,3,1
51,63465, 0000F7E9,0,0,0,0, F,7, E,9,1
53,63483, 0000F7FB,0,0,0,0, F,7, F, B ,1
55,-1073678320, C000F810, C,0,0,0, F,8,1,0,
57,63596, 0000F86C,0,0,0,0, F,8,6, C ,
59,-2147420082, 8000F84E,8,0,0,0, F,8,4, E ,
61,-1073678282, C000F836, C,0,0,0, F,8,3,6,
63,-1073678299, C000F825, C,0,0,0, F,8,2,5,
65,-1073678317, C000F813, C,0,0,0, F,8,1,3,
67,1073805315, 4000F803,4,0,0,0, F,8,0,3,
69,-2147420169, 8000F7F7,8,0,0,0, F,7, F,7,
71,1073805864, 4000FA28,4,0,0,0, F, A,2,8,
73,1073805837, 4000FA0D,4,0,0,0, F, A,0, D ,
75,-1073677843, C000F9ED, C,0,0,0, F,9, E, D ,
77,-2147419695, 8000F9D1,8,0,0,0, F,9, D,1,
79,63926, 0000F9B6,0,0,0,0, F,9, B,6,
81,1073805715, 4000F993,4,0,0,0, F,9,9,3,
83,63853, 0000F96D,0,0,0,0, F,9,6, D ,
85,-2147419559, 8000FA59,8,0,0,0, F, A,5,9,
87,-2147419537, 8000FA6F,8,0,0,0, F, A,6, F ,
89,-1073677695, C000FA81, C,0,0,0, F, A,8,1,
91,-2147419505, 8000FA8F,8,0,0,0, F, A,8, F ,
93,1073805980, 4000FA9C,4,0,0,0, F, A,9, C ,
95,-2147419481, 8000FAA7,8,0,0,0, F, A, A,7,
97,-1073677649, C000FAAF, C,0,0,0, F, A, A, F ,
99,64183, 0000FAB7,0,0,0,0, F, A, B,7,
101,-2147420027, 8000F885,8,0,0,0, F,8,8,5,
103,-2147419992, 8000F8A8,8,0,0,0, F,8, A,8,
105,63695, 0000F8CF,0,0,0,0, F,8, C, F ,
107,-2147419920, 8000F8F0,8,0,0,0, F,8, F,0,
109,-1073678065, C000F90F, C,0,0,0, F,9,0, F ,
111,-2147419861, 8000F92B,8,0,0,0, F,9,2, B ,
113,1073805635, 4000F943,4,0,0,0, F,9,4,3,
115,1073805247, 4000F7BF,4,0,0,0, F,7, B, F ,
117,63413, 0000F7B5,0,0,0,0, F,7, B,5,
119,1073805230, 4000F7AE,4,0,0,0, F,7, A, E ,
121,1073805226, 4000F7AA,4,0,0,0, F,7, A, A ,
123,-1073678423, C000F7A9, C,0,0,0, F,7, A,9,
125,-1073678413, C000F7B3, C,0,0,0, F,7, B,3,
127,63427, 0000F7C3,0,0,0,0, F,7, C,3,
129,-1073678086, C000F8FA, C,0,0,0, F,8, F, A ,
131,63717, 0000F8E5,0,0,0,0, F,8, E,5,
133,63695, 0000F8CF,0,0,0,0, F,8, C, F ,
135,1073805497, 4000F8B9,4,0,0,0, F,8, B,9,
137,-2147420002, 8000F89E,8,0,0,0, F,8,9, E ,
139,-1073678209, C000F87F, C,0,0,0, F,8,7, F ,
141,63587, 0000F863,0,0,0,0, F,8,6,3,
143,-2147419482, 8000FAA6,8,0,0,0, F, A, A,6,
145,64143, 0000FA8F,0,0,0,0, F, A,8, F ,
147,-2147419532, 8000FA74,8,0,0,0, F, A,7,4,
149,1073805918, 4000FA5E,4,0,0,0, F, A,5, E ,
151,1073805901, 4000FA4D,4,0,0,0, F, A,4, D ,
153,64060, 0000FA3C,0,0,0,0, F, A,3, C ,
155,-1073677788, C000FA24, C,0,0,0, F, A,2,4,
157,1073805833, 4000FA09,4,0,0,0, F, A,0,9,
159,63924, 0000F9B4,0,0,0,0, F,9, B,4,
161,-2147419690, 8000F9D6,8,0,0,0, F,9, D,6,
163,-1073677832, C000F9F8, C,0,0,0, F,9, F,8,
165,-1073677797, C000FA1B, C,0,0,0, F, A,1, B ,
167,1073805883, 4000FA3B,4,0,0,0, F, A,3, B ,
169,-1073677742, C000FA52, C,0,0,0, F, A,5,2,
171,64103, 0000FA67,0,0,0,0, F, A,6,7,
173,1073805302, 4000F7F6,4,0,0,0, F,7, F,6,
175,63494, 0000F806,0,0,0,0, F,8,0,6,
177,63518, 0000F81E,0,0,0,0, F,8,1, E ,
179,-2147420103, 8000F839,8,0,0,0, F,8,3,9,
181,-2147420079, 8000F851,8,0,0,0, F,8,5,1,
183,-2147420057, 8000F867,8,0,0,0, F,8,6,7,
185,-2147420027, 8000F885,8,0,0,0, F,8,8,5,
187,1073805326, 4000F80E,4,0,0,0, F,8,0, E ,
189,1073805314, 4000F802,4,0,0,0, F,8,0,2,
191,-1073678354, C000F7EE, C,0,0,0, F,7, E, E ,
193,-1073678371, C000F7DD, C,0,0,0, F,7, D, D ,
195,1073805263, 4000F7CF,4,0,0,0, F,7, C, F ,
197,-1073678399, C000F7C1, C,0,0,0, F,7, C,1,
199,63413, 0000F7B5,0,0,0,0, F,7, B,5,
201,-2147419734, 8000F9AA,8,0,0,0, F,9, A, A ,
203,-1073677945, C000F987, C,0,0,0, F,9,8,7,
205,-1073677982, C000F962, C,0,0,0, F,9,6,2,
207,-1073678018, C000F93E, C,0,0,0, F,9,3, E ,
209,1073805600, 4000F920,4,0,0,0, F,9,2,0,
211,-1073678073, C000F907, C,0,0,0, F,9,0,7,
213,-1073678093, C000F8F3, C,0,0,0, F,8, F,3,
215,1073805970, 4000FA92,4,0,0,0, F, A,9,2,
217,-2147419491, 8000FA9D,8,0,0,0, F, A,9, D ,
219,-1073677659, C000FAA5, C,0,0,0, F, A, A,5,
221,64173, 0000FAAD,0,0,0,0, F, A, A, D ,
223,1073806001, 4000FAB1,4,0,0,0, F, A, B,1,
225,-1073677652, C000FAAC, C,0,0,0, F, A, A, C ,
227,-1073677668, C000FA9C, C,0,0,0, F, A,9, C ,
229,63734, 0000F8F6,0,0,0,0, F,8, F,6,
231,-1073678061, C000F913, C,0,0,0, F,9,1,3,
233,63791, 0000F92F,0,0,0,0, F,9,2, F ,
235,-1073678008, C000F948, C,0,0,0, F,9,4,8,
237,-2147419803, 8000F965,8,0,0,0, F,9,6,5,
239,1073805701, 4000F985,4,0,0,0, F,9,8,5,
241,63906, 0000F9A2,0,0,0,0, F,9, A,2,
243,1073805222, 4000F7A6,4,0,0,0, F,7, A,6,
