0,31678,00007BBE,0,0,0,0,7,B,B,E,0,0,0,0,111,1011,1011,1110
2,1073773495,40007BB7,4,0,0,0,7,B,B,7,100,0,0,0,111,1011,1011,111
4,31672,00007BB8,0,0,0,0,7,B,B,8,0,0,0,0,111,1011,1011,1000
6,-1073710151,C0007BB9,C,0,0,0,7,B,B,9,1100,0,0,0,111,1011,1011,1001
8,31903,00007C9F,0,0,0,0,7,C,9,F,0,0,0,0,111,1100,1001,1111
10,1073773711,40007C8F,4,0,0,0,7,C,8,F,100,0,0,0,111,1100,1000,1111
12,-2147451772,80007C84,8,0,0,0,7,C,8,4,1000,0,0,0,111,1100,1000,100
14,-1610580868,A0007C7C,A,0,0,0,7,C,7,C,1010,0,0,0,111,1100,111,1100
16,536902773,20007C75,2,0,0,0,7,C,7,5,10,0,0,0,111,1100,111,101
18,-1073709975,C0007C69,C,0,0,0,7,C,6,9,1100,0,0,0,111,1100,110,1001
20,-536839077,E0007C5B,E,0,0,0,7,C,5,B,1110,0,0,0,111,1100,101,1011
22,-1073709713,C0007D6F,C,0,0,0,7,D,6,F,1100,0,0,0,111,1101,110,1111
24,1073773937,40007D71,4,0,0,0,7,D,7,1,100,0,0,0,111,1101,111,1
26,-2147451540,80007D6C,8,0,0,0,7,D,6,C,1000,0,0,0,111,1101,110,1100
28,-536838815,E0007D61,E,0,0,0,7,D,6,1,1110,0,0,0,111,1101,110,1
30,-536838830,E0007D52,E,0,0,0,7,D,5,2,1110,0,0,0,111,1101,101,10
32,-1073709757,C0007D43,C,0,0,0,7,D,4,3,1100,0,0,0,111,1101,100,11
34,32057,00007D39,0,0,0,0,7,D,3,9,0,0,0,0,111,1101,11,1001
36,-1073709922,C0007C9E,C,0,0,0,7,C,9,E,1100,0,0,0,111,1100,1001,1110
38,536902832,20007CB0,2,0,0,0,7,C,B,0,10,0,0,0,111,1100,1011,0
40,-2147451709,80007CC3,8,0,0,0,7,C,C,3,1000,0,0,0,111,1100,1100,11
42,1610644693,60007CD5,6,0,0,0,7,C,D,5,110,0,0,0,111,1100,1101,101
44,1610644711,60007CE7,6,0,0,0,7,C,E,7,110,0,0,0,111,1100,1110,111
46,1073773818,40007CFA,4,0,0,0,7,C,F,A,100,0,0,0,111,1100,1111,1010
48,-1610580720,A0007D10,A,0,0,0,7,D,1,0,1010,0,0,0,111,1101,1,0
50,31695,00007BCF,0,0,0,0,7,B,C,F,0,0,0,0,111,1011,1100,1111
52,-536839209,E0007BD7,E,0,0,0,7,B,D,7,1110,0,0,0,111,1011,1101,111
54,-1610581025,A0007BDF,A,0,0,0,7,B,D,F,1010,0,0,0,111,1011,1101,1111
56,-2147451934,80007BE2,8,0,0,0,7,B,E,2,1000,0,0,0,111,1011,1110,10
58,-2147451930,80007BE6,8,0,0,0,7,B,E,6,1000,0,0,0,111,1011,1110,110
60,-1610581008,A0007BF0,A,0,0,0,7,B,F,0,1010,0,0,0,111,1011,1111,0
62,-2147451907,80007BFD,8,0,0,0,7,B,F,D,1000,0,0,0,111,1011,1111,1101
64,536902668,20007C0C,2,0,0,0,7,C,0,C,10,0,0,0,111,1100,0,1100
66,-536839153,E0007C0F,E,0,0,0,7,C,0,F,1110,0,0,0,111,1100,0,1111
68,31750,00007C06,0,0,0,0,7,C,0,6,0,0,0,0,111,1100,0,110
70,-1610580993,A0007BFF,A,0,0,0,7,B,F,F,1010,0,0,0,111,1011,1111,1111
72,-536839174,E0007BFA,E,0,0,0,7,B,F,A,1110,0,0,0,111,1011,1111,1010
74,1073773556,40007BF4,4,0,0,0,7,B,F,4,100,0,0,0,111,1011,1111,100
