
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
163,81,2594.59448,-1778,FFFFF90E,1747.64025
165,82,2626.62670,-1777,FFFFF90F,2102.04150
167,83,2658.65869,-1770,FFFFF916,1167.86303
169,84,2690.69067,-1757,FFFFF923,4240.23974
171,85,2722.72265,-1742,FFFFF932,4827.49804
173,86,2754.75463,-1736,FFFFF938,3178.87207
175,87,2786.78686,-1743,FFFFF931,4624.36816
177,88,2818.81884,-1750,FFFFF92A,4615.06933
179,89,2850.85083,-1756,FFFFF924,1939.09497
181,90,2882.88281,-1758,FFFFF922,2409.03833
183,91,2914.91479,-1758,FFFFF922,5343.91503
185,92,2946.94702,-1757,FFFFF923,3260.85278
187,93,2978.97900,-1756,FFFFF924,1678.72485
189,94,3011.01098,-1755,FFFFF925,1269.74584
191,95,3043.04296,-1751,FFFFF929,3042.72216
193,96,3075.07519,-1744,FFFFF930,3087.58349
195,97,3107.10717,-1732,FFFFF93C,1613.36743
197,98,3139.13916,-1720,FFFFF948,3909.40161
199,99,3171.17114,-1720,FFFFF948,1040.38659
201,100,3203.20312,-1736,FFFFF938,1738.77160
203,101,3235.23535,-1758,FFFFF922,3293.56738
205,102,3267.26733,-1775,FFFFF911,1740.64404
207,103,3299.29931,-1779,FFFFF90D,1929.61486
209,104,3331.33129,-1771,FFFFF915,2806.30615
211,105,3363.36328,-1755,FFFFF925,1385.32067
213,106,3395.39550,-1741,FFFFF933,1069.28747
215,107,3427.42749,-1737,FFFFF937,1579.31677
217,108,3459.45947,-1742,FFFFF932,1057.26989
219,109,3491.49145,-1752,FFFFF928,1752.38500
221,110,3523.52343,-1759,FFFFF921,2359.80395
223,111,3555.55566,-1763,FFFFF91D,1387.79260
225,112,3587.58764,-1766,FFFFF91A,2057.31103
227,113,3619.61962,-1766,FFFFF91A,1956.13769
229,114,3651.65161,-1760,FFFFF920,1757.20922
231,115,3683.68359,-1750,FFFFF92A,1224.03308
233,116,3715.71582,-1745,FFFFF92F,2396.41235
235,117,3747.74780,-1742,FFFFF932,2070.37939
