0x00000001,0x4000F897
0x00000003,0x4000F8A7
0x00000005,0xC000F8B5
0x00000007,0x4000F8C5
0x00000009,0xC000F8D4
0x0000000B,0x0000F8E5
0x0000000D,0x8000F8F5
0x0000000F,0xC000F906
0x00000011,0x0000F918
0x00000013,0x4000F928
0x00000015,0x8000F93A
0x00000017,0x8000F94B
0x00000019,0x0000F95C
0x0000001B,0xC000F96B
0x0000001D,0x8000F979
0x0000001F,0xC000F984
0x00000021,0x4000F830
0x00000023,0x0000F83C
0x00000025,0x4000F846
0x00000027,0x8000F853
0x00000029,0x4000F865
0x0000002B,0x0000F878
0x0000002D,0xC000F888
0x0000002F,0xC000F899
0x00000031,0xC000F8AA
0x00000033,0x0000F8BC
0x00000035,0x0000F8CB
0x00000037,0x4000F8D9
0x00000039,0x8000F8E7
0x0000003B,0x4000F8F6
0x0000003D,0xC000F908
0x0000003F,0x4000F919
0x00000041,0x4000F82B
0x00000043,0x4000F826
0x00000045,0x8000F822
0x00000047,0x4000F821
0x00000049,0x4000F822
0x0000004B,0xC000F824
0x0000004D,0x4000F82B
0x0000004F,0x8000F835
0x00000051,0x0000F842
0x00000053,0xC000F84F
0x00000055,0x4000F85E
0x00000057,0x4000F86E
0x00000059,0x4000F880
0x0000005B,0xC000F891
0x0000005D,0xC000F8A0
0x0000005F,0x0000F8B0
0x00000061,0x4000F8BF
0x00000063,0xC000F854
0x00000065,0xC000F84A
0x00000067,0x8000F842
0x00000069,0x0000F83B
0x0000006B,0x4000F834
0x0000006D,0x4000F82F
0x0000006F,0xC000F82A
0x00000071,0xC000F826
0x00000073,0xC000F824
0x00000075,0xC000F823
0x00000077,0xC000F825
0x00000079,0x4000F82B
0x0000007B,0xC000F830
0x0000007D,0x4000F839
0x0000007F,0x8000F844
0x00000081,0xC000F851
0x00000083,0x0000F861
0x00000085,0x8000F89D
0x00000087,0xC000F88B
0x00000089,0x8000F87B
0x0000008B,0x0000F86D
0x0000008D,0x4000F861
0x0000008F,0x0000F858
0x00000091,0x8000F84E
0x00000093,0x0000F844
0x00000095,0x8000F83A
0x00000097,0x8000F833
0x00000099,0x4000F82E
0x0000009B,0x8000F829
0x0000009D,0x8000F824
0x0000009F,0x8000F820
0x000000A1,0xC000F81E
0x000000A3,0x8000F81E
0x000000A5,0x8000F921
0x000000A7,0xC000F90F
0x000000A9,0x8000F8FE
0x000000AB,0x0000F8ED
0x000000AD,0x0000F8D9
0x000000AF,0x8000F8C3
0x000000B1,0x8000F8AD
0x000000B3,0x8000F899
0x000000B5,0x4000F888
0x000000B7,0x4000F877
0x000000B9,0x8000F869
0x000000BB,0x8000F85E
0x000000BD,0x8000F854
0x000000BF,0xC000F84B
0x000000C1,0x4000F842
0x000000C3,0x0000F83B
0x000000C5,0x4000F833
0x000000C7,0xC000F982
0x000000C9,0x4000F972
0x000000CB,0xC000F962
0x000000CD,0x4000F953
0x000000CF,0x4000F944
0x000000D1,0x8000F933
0x000000D3,0x0000F920
0x000000D5,0x4000F90D
0x000000D7,0xC000F8FA
0x000000D9,0x0000F8E7
0x000000DB,0x0000F8D3
0x000000DD,0x8000F8BE
0x000000DF,0x0000F8AA
0x000000E1,0x4000F897
0x000000E3,0xC000F886
0x000000E5,0xC000F876
0x000000E7,0x4000F9D5
0x000000E9,0x8000F9D0
0x000000EB,0x4000F9CA
0x000000ED,0xC000F9BF
0x000000EF,0x4000F9B3
0x000000F1,0x8000F9A5
0x000000F3,0x0000F994
0x000000F5,0x4000F982
0x000000F7,0x8000F971
0x000000F9,0x8000F960
0x000000FB,0x0000F950
0x000000FD,0x4000F93E
0x000000FF,0xC000F92C
0x00000101,0x0000F91D
0x00000103,0x8000F90B
0x00000105,0xC000F8F8
0x00000107,0x8000F8E5
0x00000109,0x4000F9C7
0x0000010B,0x8000F9CD
0x0000010D,0xC000F9D2
0x0000010F,0x8000F9D6
0x00000111,0x8000F9D8
