
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
169,84,2690.69067,-1741,FFFFF933,826.07983
171,85,2722.72265,-1742,FFFFF932,874.84771
173,86,2754.75463,-1742,FFFFF932,890.54321
175,87,2786.78686,-1742,FFFFF932,858.27178
177,88,2818.81884,-1742,FFFFF932,821.16528
179,89,2850.85083,-1743,FFFFF931,914.82586
181,90,2882.88281,-1746,FFFFF92E,791.72082
183,91,2914.91479,-1747,FFFFF92D,846.09497
185,92,2946.94702,-1746,FFFFF92E,873.11267
187,93,2978.97900,-1746,FFFFF92E,854.44396
189,94,3011.01098,-1748,FFFFF92C,874.68621
191,95,3043.04296,-1748,FFFFF92C,877.04187
193,96,3075.07519,-1748,FFFFF92C,882.46697
195,97,3107.10717,-1749,FFFFF92B,866.39312
197,98,3139.13916,-1750,FFFFF92A,858.00769
199,99,3171.17114,-1750,FFFFF92A,876.78942
201,100,3203.20312,-1750,FFFFF92A,916.60235
203,101,3235.23535,-1752,FFFFF928,865.45294
205,102,3267.26733,-1753,FFFFF927,843.36987
207,103,3299.29931,-1753,FFFFF927,893.88604
209,104,3331.33129,-1754,FFFFF926,866.77526
211,105,3363.36328,-1755,FFFFF925,879.80462
213,106,3395.39550,-1756,FFFFF924,870.78735
215,107,3427.42749,-1757,FFFFF923,841.49145
217,108,3459.45947,-1757,FFFFF923,867.24121
219,109,3491.49145,-1757,FFFFF923,850.04577
221,110,3523.52343,-1758,FFFFF922,862.44152
223,111,3555.55566,-1758,FFFFF922,855.83996
225,112,3587.58764,-1758,FFFFF922,879.64263
227,113,3619.61962,-1758,FFFFF922,859.39996
229,114,3651.65161,-1759,FFFFF921,884.24359
231,115,3683.68359,-1760,FFFFF920,866.59875
233,116,3715.71582,-1761,FFFFF91F,838.32269
235,117,3747.74780,-1761,FFFFF91F,861.94354
237,118,3779.77978,-1761,FFFFF91F,895.35241
239,119,3811.81176,-1761,FFFFF91F,870.56530
241,120,3843.84375,-1761,FFFFF91F,910.68151
243,121,3875.87597,-1762,FFFFF91E,879.49835
