
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
161,80,2562.56250,-1724,FFFFF944,1749.55847
163,81,2594.59448,-1724,FFFFF944,1703.35729
165,82,2626.62670,-1725,FFFFF943,1696.30651
167,83,2658.65869,-1724,FFFFF944,1733.27722
169,84,2690.69067,-1725,FFFFF943,1752.67297
171,85,2722.72265,-1725,FFFFF943,1777.61206
173,86,2754.75463,-1725,FFFFF943,1744.03210
175,87,2786.78686,-1725,FFFFF943,1695.16076
177,88,2818.81884,-1725,FFFFF943,1725.81420
179,89,2850.85083,-1725,FFFFF943,1729.97985
181,90,2882.88281,-1726,FFFFF942,1702.24780
183,91,2914.91479,-1727,FFFFF941,1680.96423
185,92,2946.94702,-1728,FFFFF940,1794.67346
187,93,2978.97900,-1728,FFFFF940,1747.69348
189,94,3011.01098,-1728,FFFFF940,1704.69458
191,95,3043.04296,-1729,FFFFF93F,1706.03942
193,96,3075.07519,-1729,FFFFF93F,1702.28295
195,97,3107.10717,-1731,FFFFF93D,1731.44750
197,98,3139.13916,-1732,FFFFF93C,1746.01623
199,99,3171.17114,-1732,FFFFF93C,1718.67053
201,100,3203.20312,-1733,FFFFF93B,1758.47937
203,101,3235.23535,-1733,FFFFF93B,1715.43664
205,102,3267.26733,-1734,FFFFF93A,1726.50976
207,103,3299.29931,-1734,FFFFF93A,1700.37573
209,104,3331.33129,-1735,FFFFF939,1716.81506
211,105,3363.36328,-1735,FFFFF939,1695.05603
213,106,3395.39550,-1735,FFFFF939,1722.52221
215,107,3427.42749,-1736,FFFFF938,1724.08935
217,108,3459.45947,-1737,FFFFF937,1737.30627
219,109,3491.49145,-1738,FFFFF936,1746.90026
221,110,3523.52343,-1738,FFFFF936,1726.25866
223,111,3555.55566,-1739,FFFFF935,1739.77453
225,112,3587.58764,-1739,FFFFF935,1728.58386
227,113,3619.61962,-1740,FFFFF934,1733.55102
229,114,3651.65161,-1741,FFFFF933,1710.06726
231,115,3683.68359,-1743,FFFFF931,1759.58349
233,116,3715.71582,-1743,FFFFF931,1738.34582
