1,-100630528,FA008000
3,-101154816,F9F88000
5,-102006784,F9EB8000
7,-102825984,F9DF0000
9,-103497728,F9D4C000
11,-104087552,F9CBC000
13,-104595456,F9C40000
15,-105152512,F9BB8000
17,-105857024,F9B0C000
19,-106840064,F9A1C000
21,-108068864,F98F0000
23,-109248512,F97D0000
25,-110477312,F96A4000
27,-105234432,F9BA4000
29,-104169472,F9CA8000
31,-103284736,F9D80000
33,-102596608,F9E28000
35,-102072320,F9EA8000
37,-101564416,F9F24000
39,-101187584,F9F80000
41,-100892672,F9FC8000
43,-100646912,FA004000
45,-100499456,FA028000
47,-100564992,FA018000
49,-101040128,F9FA4000
51,-101679104,F9F08000
53,-102334464,F9E68000
55,-103137280,F9DA4000
57,-103727104,F9D14000
59,-114425856,F92E0000
61,-113000448,F943C000
63,-111558656,F959C000
65,-110231552,F96E0000
67,-109019136,F9808000
69,-107610112,F9960000
71,-106184704,F9ABC000
73,-105054208,F9BD0000
75,-104054784,F9CC4000
77,-103235584,F9D8C000
79,-102580224,F9E2C000
81,-102006784,F9EB8000
83,-101580800,F9F20000
85,-101236736,F9F74000
87,-100859904,F9FD0000
89,-100581376,FA014000
91,-122503168,F8B2C000
93,-121143296,F8C78000
95,-119848960,F8DB4000
97,-118800384,F8EB4000
99,-117800960,F8FA8000
101,-116932608,F907C000
103,-115933184,F9170000
105,-114524160,F92C8000
107,-113115136,F9420000
109,-111640576,F9588000
111,-110247936,F96DC000
113,-109035520,F9804000
115,-107724800,F9944000
117,-106364928,F9A90000
119,-105201664,F9BAC000
121,-127451136,F8674000
123,-127287296,F869C000
125,-126992384,F86E4000
127,-126599168,F8744000
129,-125911040,F87EC000
131,-124960768,F88D4000
133,-124125184,F89A0000
135,-123289600,F8A6C000
137,-122126336,F8B88000
139,-120864768,F8CBC000
141,-119652352,F8DE4000
143,-118538240,F8EF4000
145,-117571584,F8FE0000
147,-116539392,F90DC000
149,-115425280,F91EC000
151,-114229248,F9310000
153,-128385024,F8590000
155,-128532480,F856C000
157,-128483328,F8578000
159,-128516096,F8570000
161,-128483328,F8578000
163,-128319488,F85A0000
165,-128204800,F85BC000
167,-128073728,F85DC000
169,-127893504,F8608000
171,-127565824,F8658000
173,-127090688,F86CC000
175,-126304256,F878C000
177,-125435904,F8860000
179,-124698624,F8914000
181,-123797504,F89F0000
183,-123256832,F8A74000
185,-124010496,F89BC000
187,-124485632,F8948000
189,-124977152,F88D0000
191,-125960192,F87E0000
193,-126795776,F8714000
195,-127270912,F86A0000
197,-127778816,F8624000
199,-128139264,F85CC000
201,-128172032,F85C4000
203,-128139264,F85CC000
205,-128204800,F85BC000
207,-128172032,F85C4000
209,-128008192,F85EC000
211,-127713280,F8634000
213,-115605504,F91C0000
215,-116604928,F90CC000
217,-117833728,F8FA0000
219,-119144448,F8E60000
221,-120389632,F8D30000
223,-121339904,F8C48000
225,-122257408,F8B68000
227,-122961920,F8ABC000
229,-123518976,F8A34000
231,-123994112,F89C0000
233,-124518400,F8940000
235,-125255680,F888C000
237,-125976576,F87DC000
239,-126746624,F8720000
241,-127467520,F8670000
243,-108216320,F98CC000
245,-109395968,F97AC000
247,-110542848,F9694000
249,-111738880,F9570000
251,-112738304,F947C000
253,-113426432,F93D4000
255,-114081792,F9334000
257,-114819072,F9280000
259,-115687424,F91AC000
261,-116785152,F90A0000
263,-118030336,F8F70000
265,-119177216,F8E58000
267,-120389632,F8D30000
269,-121372672,F8C40000
271,-121978880,F8BAC000
273,-102203392,F9E88000
275,-102957056,F9DD0000
277,-103661568,F9D24000
279,-104153088,F9CAC000
281,-104529920,F9C50000
283,-105037824,F9BD4000
285,-105955328,F9AF4000
287,-106971136,F99FC000
289,-108019712,F98FC000
291,-109297664,F97C4000
293,-110592000,F9688000
295,-111722496,F9574000
297,-112754688,F9478000
299,-113524736,F93BC000
