0,64073,FA49
1987,-135610368,F7EAC000,63466,F7EA
1989,-134610944,F7FA0000,63482,F7FA
1991,-133529600,F80A8000,63498,F80A
1993,-132300800,F81D4000,63517,F81D
1995,-131039232,F8308000,63536,F830
1997,-129679360,F8454000,63557,F845
1999,-128270336,F85AC000,63578,F85A
1,-133709824,F807C000,63495,F807
3,-132333568,F81CC000,63516,F81C
5,-130990080,F8314000,63537,F831
7,-129646592,F845C000,63557,F845
9,-128139264,F85CC000,63580,F85C
11,-129875968,F8424000,63554,F842
13,-131268608,F82D0000,63533,F82D
15,-132055040,F8210000,63521,F821
17,-133136384,F8108000,63504,F810
19,-134119424,F8018000,63489,F801
21,-134922240,F7F54000,63477,F7F5
23,-135970816,F7E54000,63461,F7E5
25,-136593408,F7DBC000,63451,F7DB
27,-136904704,F7D70000,63447,F7D7
29,-104775680,F9C14000,63937,F9C1
31,-106905600,F9A0C000,63904,F9A0
33,-109314048,F97C0000,63868,F97C
35,-111607808,F9590000,63833,F959
37,-113688576,F9394000,63801,F939
39,-115523584,F91D4000,63773,F91D
41,-117096448,F9054000,63749,F905
43,-118587392,F8EE8000,63726,F8EE
45,-119947264,F8D9C000,63705,F8D9
47,-121503744,F8C20000,63682,F8C2
49,-123535360,F8A30000,63651,F8A3
51,-86687744,FAD54000,64213,FAD5
53,-86769664,FAD40000,64212,FAD4
55,-87605248,FAC74000,64199,FAC7
57,-88997888,FAB20000,64178,FAB2
59,-90521600,FA9AC000,64154,FA9A
61,-91930624,FA854000,64133,FA85
63,-93126656,FA730000,64115,FA73
65,-94371840,FA600000,64096,FA60
67,-95993856,FA474000,64071,FA47
69,-98074624,FA278000,64039,FA27
71,-100286464,FA05C000,64005,FA05
73,-101122048,F9F90000,63993,F9F9
75,-99106816,FA17C000,64023,FA17
77,-96944128,FA38C000,64056,FA38
79,-94863360,FA588000,64088,FA58
81,-92962816,FA758000,64117,FA75
83,-91422720,FA8D0000,64141,FA8D
85,-90406912,FA9C8000,64156,FA9C
87,-89686016,FAA78000,64167,FAA7
89,-89194496,FAAF0000,64175,FAAF
91,-88670208,FAB70000,64183,FAB7
93,-88031232,FAC0C000,64192,FAC0
95,-125124608,F88AC000,63626,F88A
97,-123011072,F8AB0000,63659,F8AB
99,-120569856,F8D04000,63696,F8D0
101,-118030336,F8F70000,63735,F8F7
103,-115654656,F91B4000,63771,F91B
105,-113672192,F9398000,63801,F939
107,-111984640,F9534000,63827,F953
109,-110346240,F96C4000,63852,F96C
111,-108560384,F9878000,63879,F987
113,-106528768,F9A68000,63910,F9A6
115,-137740288,F7CA4000,63434,F7CA
117,-138117120,F7C48000,63428,F7C4
119,-138035200,F7C5C000,63429,F7C5
121,-137265152,F7D18000,63441,F7D1
123,-136429568,F7DE4000,63454,F7DE
125,-135528448,F7EC0000,63468,F7EC
127,-134479872,F7FC0000,63484,F7FC
129,-133562368,F80A0000,63498,F80A
131,-132546560,F8198000,63513,F819
133,-131317760,F82C4000,63532,F82C
135,-130056192,F83F8000,63551,F83F
137,-127729664,F8630000,63587,F863
139,-129171456,F84D0000,63565,F84D
141,-130547712,F8380000,63544,F838
143,-131743744,F825C000,63525,F825
145,-132530176,F819C000,63513,F819
147,-133365760,F80D0000,63501,F80D
