68000,63830,F956
291,-113983488,F934C000,63796,F934
293,-91144192,FA914000,64145,FA91
295,-90308608,FA9E0000,64158,FA9E
297,-89407488,FAABC000,64171,FAAB
299,-88457216,FABA4000,64186,FABA
301,-87818240,FAC40000,64196,FAC4
303,-86999040,FAD08000,64208,FAD0
305,-86343680,FADA8000,64218,FADA
307,-86261760,FADBC000,64219,FADB
309,-86654976,FAD5C000,64213,FAD5
311,-88047616,FAC08000,64192,FAC0
313,-116817920,F9098000,63753,F909
315,-114753536,F9290000,63785,F929
317,-112984064,F9440000,63812,F944
319,-111099904,F960C000,63840,F960
321,-109117440,F97F0000,63871,F97F
323,-107036672,F99EC000,63902,F99E
325,-104677376,F9C2C000,63938,F9C2
327,-102121472,F9E9C000,63977,F9E9
329,-99647488,FA0F8000,64015,FA0F
331,-97615872,FA2E8000,64046,FA2E
333,-95698944,FA4BC000,64075,FA4B
335,-138182656,F7C38000,63427,F7C3
337,-137084928,F7D44000,63444,F7D4
339,-136151040,F7E28000,63458,F7E2
341,-135118848,F7F24000,63474,F7F2
343,-133890048,F8050000,63493,F805
345,-132382720,F81C0000,63516,F81C
347,-130596864,F8374000,63543,F837
349,-128712704,F8540000,63572,F854
351,-126681088,F8730000,63603,F873
353,-124125184,F89A0000,63642,F89A
355,-133906432,F804C000,63492,F804
357,-134807552,F7F70000,63479,F7F7
359,-135790592,F7E80000,63464,F7E8
361,-136921088,F7D6C000,63446,F7D6
363,-138100736,F7C4C000,63428,F7C4
365,-139378688,F7B14000,63409,F7B1
367,-140345344,F7A28000,63394,F7A2
369,-141000704,F7988000,63384,F798
371,-141492224,F7910000,63377,F791
373,-141770752,F78CC000,63372,F78C
375,-114589696,F92B8000,63787,F92B
377,-115998720,F9160000,63766,F916
379,-117030912,F9064000,63750,F906
381,-117915648,F8F8C000,63736,F8F8
383,-118915072,F8E98000,63721,F8E9
385,-120455168,F8D20000,63698,F8D2
387,-122781696,F8AE8000,63662,F8AE
389,-125108224,F88B0000,63627,F88B
391,-127254528,F86A4000,63594,F86A
393,-129449984,F848C000,63560,F848
395,-131055616,F8304000,63536,F830
397,-91340800,FA8E4000,64142,FA8E
399,-93519872,FA6D0000,64109,FA6D
401,-95305728,FA51C000,64081,FA51
403,-96370688,FA418000,64065,FA41
405,-97173504,FA354000,64053,FA35
407,-98091008,FA274000,64039,FA27
409,-99287040,FA150000,64021,FA15
411,-101171200,F9F84000,63992,F9F8
413,-103677952,F9D20000,63954,F9D2
415,-106643456,F9A4C000,63908,F9A4
417,-94437376,FA5F0000,64095,FA5F
419,-92897280,FA768000,64118,FA76
421,-92438528,FA7D8000,64125,FA7D
423,-92635136,FA7A8000,64122,FA7A
425,-92553216,FA7BC000,64123,FA7B
427,-92127232,FA824000,64130,FA82
429,-91013120,FA934000,64147,FA93
431,-89161728,FAAF8000,64175,FAAF
433,-87179264,FACDC000,64205,FACD
435,-85524480,FAE70000,64231,FAE7
437,-84770816,FAF28000,64242,FAF2
439,-120717312,F8CE0000,63694,F8CE
441,-118456320,F8F08000,63728,F8F0
443,-116539392,F90DC000,63757,F90D
445,-114688000,F92A0000,63786,F92A
447,-113098752,F9424000,63810,F942
449,-111329280,F95D4000,63837,F95D
451,-109248512,F97D0000,63869,F97D
453,-107036672,F99EC000,63902,F99E
455,-104431616,F9C68000,63942,F9C6
457,-101793792,F9EEC000,63982,F9EE
459,-140492800,F7A04000,63392,F7A0
461,-139460608,F7B00000,63408,F7B0
463,-138330112,F7C14000,63425,F7C1
465,-137183232,F7D2C000,63442,F7D2
467,-136216576,F7E18000,63457,F7E1
469,-135610368,F7EAC000,63466,F7EA
471,-134791168,F7F74000,63479,F7F7
473,-133447680,F80BC000,63499,F80B
475,-131874816,F823C000,63523,F823
477,-130203648,F83D4000,63549,F83D
479,-128368640,F8594000,63577,F859
481,-131694592,F8268000,63526,F826
483,-132956160,F8134000,63507,F813
485,-133988352,F8038000,63491,F803
487,-134316032,F7FE8000,63486,F7FE
489,-135905280,F7E64000,63462,F7E6
491,-137560064,F7CD0000,63437,F7CD
493,-138248192,F7C28000,63426,F7C2
495,-139214848,F7B3C000,63411,F7B3
497,-140214272,F7A48000,63396,F7A4
499,-140804096,F79B8000,63387,F79B
501,-109985792,F971C000,63857,F971
503,-112738304,F947C000,63815,F947
505,-114720768,F9298000,63785,F929
507,-116031488,F9158000,63765,F915
509,-117014528,F9068000,63750,F906
511,-117899264,F8F90000,63737,F8F9
513,-118964224,F8E8C000,63720,F8E8
515,-120684544,F8CE8000,63694,F8CE
517,-122961920,F8ABC000,63659,F8AB
519,-125206528,F8898000,63625,F889
