187,375,-93323264,FA700000
188,377,-96354304,FA41C000
189,379,-99647488,FA0F8000
190,381,-103907328,F9CE8000
191,383,-108625920,F9868000
192,385,-113197056,F940C000
193,387,-117047296,F9060000
194,389,-119734272,F8DD0000
195,391,-120094720,F8D78000
196,393,-122519552,F8B28000
197,395,-125829120,F8800000
198,397,-129122304,F84DC000
199,399,-131137536,F82F0000
200,401,-132628480,F8184000
201,403,-135053312,F7F34000
202,405,-137936896,F7C74000
203,407,-139935744,F7A8C000
204,409,-140738560,F79C8000
205,411,-140443648,F7A10000
206,413,-139362304,F7B18000
207,415,-137887744,F7C80000
208,417,-136249344,F7E10000
209,419,-133742592,F8074000
210,421,-130039808,F83FC000
211,423,-125943808,F87E4000
212,425,-121782272,F8BDC000
213,427,-118030336,F8F70000
214,429,-114655232,F92A8000
215,431,-110821376,F9650000
216,433,-106545152,F9A64000
217,435,-102219776,F9E84000
218,437,-98140160,FA268000
219,439,-94781440,FA59C000
220,441,-92209152,FA810000
221,443,-91176960,FA90C000
222,445,-89522176,FAAA0000
223,447,-88768512,FAB58000
224,449,-89210880,FAAEC000
225,451,-91422720,FA8D0000
226,453,-94502912,FA5E0000
227,455,-97452032,FA310000
228,457,-101072896,F9F9C000
229,459,-105693184,F9B34000
230,461,-110592000,F9688000
231,463,-114966528,F925C000
232,465,-117997568,F8F78000
233,467,-120209408,F8D5C000
234,469,-122765312,F8AEC000
235,471,-126173184,F87AC000
236,473,-129384448,F849C000
237,475,-131170304,F82E8000
238,477,-132694016,F8174000
239,479,-135004160,F7F40000
240,481,-137838592,F7C8C000
241,483,-140017664,F7A78000
242,485,-140771328,F79C0000
243,487,-140247040,F7A40000
244,489,-138887168,F7B8C000
245,491,-137396224,F7CF8000
246,493,-135725056,F7E90000
247,495,-135675904,F7E9C000
248,497,-132382720,F81C0000
249,499,-128368640,F8594000
250,501,-124289024,F8978000
251,503,-120274944,F8D4C000
252,505,-116637696,F90C4000
253,507,-112951296,F9448000
254,509,-108871680,F982C000
255,511,-104579072,F9C44000
256,513,-100319232,FA054000
257,515,-96518144,FA3F4000
258,517,-93601792,FA6BC000
259,519,-91340800,FA8E4000
260,521,-89997312,FAA2C000
261,523,-89292800,FAAD8000
262,525,-89833472,FAA54000
263,527,-92307456,FA7F8000
264,529,-95436800,FA4FC000
265,531,-98500608,FA210000
266,533,-102301696,F9E70000
267,535,-106987520,F99F8000
268,537,-111738880,F9570000
269,539,-115703808,F91A8000
270,541,-118620160,F8EE0000
271,543,-120963072,F8CA4000
272,545,-123666432,F8A10000
273,547,-126910464,F86F8000
274,549,-128073728,F85DC000
275,551,-130580480,F8378000
276,553,-131989504,F8220000
277,555,-133775360,F806C000
278,557,-136609792,F7DB8000
279,559,-139214848,F7B3C000
280,561,-140574720,F79F0000
281,563,-140705792,F79D0000
282,565,-139640832,F7AD4000
283,567,-138149888,F7C40000
284,569,-136757248,F7D94000
285,571,-134807552,F7F70000
286,573,-131629056,F8278000
287,575,-127631360,F8648000
288,577,-123355136,F8A5C000
289,579,-119275520,F8E40000
290,581,-115687424,F91AC000
291,583,-112066560,F9520000
292,585,-108068864,F98F0000
293,587,-103743488,F9D10000
294,589,-99352576,FA140000
295,591,-95666176,FA4C4000
296,593,-92897280,FA768000
297,595,-90865664,FA958000
298,597,-89620480,FAA88000
299,599,-89178112,FAAF4000
300,601,-89227264,FAAE8000
301,603,-90816512,FA964000
302,605,-93814784,FA688000
303,607,-96747520,FA3BC000
304,609,-100024320,FA09C000
305,611,-104382464,F9C74000
306,613,-109166592,F97E4000
307,615,-113672192,F9398000
308,617,-117342208,F9018000
309,619,-119767040,F8DC8000
310,621,-121962496,F8BB0000
311,623,-125026304,F88C4000
312,625,-128303104,F85A4000
313,627,-130531328,F8384000
314,629,-132087808,F8208000
315,631,-134316032,F7FE8000
316,633,-137035776,F7D50000
317,635,-139051008,F7B64000
318,637,-139935744,F7A8C000
319,639,-139984896,F7A80000
320,641,-139264000,F7B30000
321,643,-137920512,F7C78000
322,645,-136331264,F7DFC000
323,647,-133922816,F8048000
324,649,-130449408,F8398000
325,651,-126468096,F8764000
326,653,-125370368,F8870000
327,655,-121208832,F8C68000
328,657,-117637120,F8FD0000
329,659,-114196480,F9318000
330,661,-110215168,F96E4000
331,663,-105807872,F9B18000
332,665,-101466112,F9F3C000
333,667,-97583104,FA2F0000
334,669,-94322688,FA60C000
335,671,-91668480,FA894000
336,673,-89833472,FAA54000
337,675,-88932352,FAB30000
338,677,-89161728,FAAF8000
339,679,-91242496,FA8FC000
340,681,-94404608,FA5F8000
341,683,-97255424,FA340000
342,685,-100564992,FA018000
343,687,-105054208,F9BD0000
344,689,-110002176,F9718000
345,691,-114524160,F92C8000
346,693,-117997568,F8F78000
347,695,-120356864,F8D38000
348,697,-122552320,F8B20000
349,699,-125452288,F885C000
350,701,-128614400,F8558000
351,703,-130891776,F832C000
352,705,-131497984,F8298000
353,707,-133234688,F80F0000
354,709,-135888896,F7E68000
355,711,-138510336,F7BE8000
356,713,-140034048,F7A74000
357,715,-140410880,F7A18000
358,717,-140017664,F7A78000
359,719,-138936320,F7B80000
360,721,-137609216,F7CC4000
361,723,-135905280,F7E64000
362,725,-132890624,F8144000
363,727,-129024000,F84F4000
364,729,-124813312,F88F8000
365,731,-120668160,F8CEC000
366,733,-117112832,F9050000
367,735,-113590272,F93AC000
368,737,-109527040,F978C000
369,739,-105250816,F9BA0000
370,741,-101023744,F9FA8000
371,743,-97206272,FA34C000
372,745,-94175232,FA630000
373,747,-91783168,FA878000
374,749,-90144768,FAA08000
375,751,-89276416,FAADC000
376,753,-89718784,FAA70000
377,755,-92192768,FA814000
378,757,-93077504,FA73C000
379,759,-96223232,FA43C000
380,761,-99188736,FA168000
381,763,-103006208,F9DC4000
382,765,-107610112,F9960000
383,767,-112377856,F94D4000
384,769,-116637696,F90C4000
385,771,-119554048,F8DFC000
386,773,-121618432,F8C04000
387,775,-124223488,F8988000
388,777,-127516672,F8664000
389,779,-130269184,F83C4000
390,781,-132071424,F820C000
391,783,-133890048,F8050000
392,785,-136396800,F7DEC000
393,787,-138838016,F7B98000
394,789,-140181504,F7A50000
395,791,-140541952,F79F8000
396,793,-140050432,F7A70000
397,795,-138772480,F7BA8000
398,797,-137330688,F7D08000
399,799,-135348224,F7EEC000
400,801,-132218880,F81E8000
401,803,-128352256,F8598000
402,805,-124108800,F89A4000
403,807,-120012800,F8D8C000
404,809,-118669312,F8ED4000
405,811,-115245056,F9218000
406,813,-111525888,F95A4000
407,815,-107397120,F9994000
408,817,-103038976,F9DBC000
409,819,-98762752,FA1D0000
410,821,-95240192,FA52C000
411,823,-92700672,FA798000
412,825,-90767360,FA970000
413,827,-89358336,FAAC8000
414,829,-88784896,FAB54000
415,831,-90095616,FAA14000
416,833,-93093888,FA738000
417,835,-96239616,FA438000
418,837,-99532800,FA114000
419,839,-103628800,F9D2C000
420,841,-108216320,F98CC000
421,843,-112820224,F9468000
422,845,-116752384,F90A8000
423,847,-119373824,F8E28000
424,849,-121520128,F8C1C000
425,851,-124338176,F896C000
426,853,-127664128,F8640000
427,855,-130383872,F83A8000
428,857,-132005888,F821C000
429,859,-133709824,F807C000
430,861,-136314880,F7E00000
431,863,-137428992,F7CF0000
432,865,-139476992,F7AFC000
433,867,-140263424,F7A3C000
434,869,-140001280,F7A7C000
435,871,-138887168,F7B8C000
436,873,-137527296,F7CD8000
437,875,-136036352,F7E44000
438,877,-133529600,F80A8000
439,879,-129941504,F8414000
440,881,-125845504,F87FC000
441,883,-121634816,F8C00000
442,885,-117997568,F8F78000
443,887,-114589696,F92B8000
444,889,-110739456,F9664000
445,891,-106512384,F9A6C000
446,893,-102154240,F9E94000
447,895,-98058240,FA27C000
448,897,-94748672,FA5A4000
449,899,-92176384,FA818000
450,901,-90341376,FA9D8000
451,903,-89325568,FAAD0000
452,905,-89128960,FAB00000
453,907,-90750976,FA974000
454,909,-93863936,FA67C000
455,911,-96845824,FA3A4000
456,913,-100106240,FA088000
457,915,-101548032,F9F28000
458,917,-106070016,F9AD8000
459,919,-110854144,F9648000
460,921,-115245056,F9218000
461,923,-118554624,F8EF0000
462,925,-120684544,F8CE8000
463,927,-123076608,F8AA0000
464,929,-126435328,F876C000
465,931,-129597440,F8468000
466,933,-131497984,F8298000
467,935,-132956160,F8134000
468,937,-135413760,F7EDC000
469,939,-138166272,F7C3C000
470,941,-140083200,F7A68000
471,943,-140787712,F79BC000
472,945,-140230656,F7A44000
473,947,-139051008,F7B64000
474,949,-137854976,F7C88000
475,951,-136167424,F7E24000
476,953,-133267456,F80E8000
477,955,-129597440,F8468000
478,957,-125566976,F8840000
479,959,-121405440,F8C38000
480,961,-117784576,F8FAC000
481,963,-114409472,F92E4000
482,965,-110477312,F96A4000
483,967,-109199360,F97DC000
484,969,-104955904,F9BE8000
485,971,-100712448,F9FF4000
486,973,-96993280,FA380000
487,975,-94076928,FA648000
488,977,-91717632,FA888000
489,979,-90079232,FAA18000
490,981,-89423872,FAAB8000
491,983,-90177536,FAA00000
492,985,-92536832,FA7C0000
493,987,-95354880,FA510000
494,989,-98156544,FA264000
495,991,-101875712,F9ED8000
496,993,-106594304,F9A58000
497,995,-111476736,F95B0000
498,997,-115687424,F91AC000
499,999,-118652928,F8ED8000
500,1001,-120864768,F8CBC000
501,1003,-123502592,F8A38000
502,1005,-126795776,F8714000
503,1007,-129630208,F8460000
504,1009,-131547136,F828C000
505,1011,-133201920,F80F8000
506,1013,-135561216,F7EB8000
507,1015,-138117120,F7C48000
508,1017,-139640832,F7AD4000
